"change_id","conqat_luc","deckard_2_0_luc","iclones_luc","nicad5_luc","simcad_luc","simian_luc","conqat_ltc","deckard_2_0_ltc","iclones_ltc","nicad5_ltc","simcad_ltc","simian_ltc"
"43960",,"307254, 307194, 307256, 307257",,,,,,"307193, 307195, 307297, 307299, 307298, 307254, 307194, 307255, 307300, 307196, 307256, 307257, 307471, 307301, 307303, 307483, 307487, 307474, 307473, 307484, 307481, 307199, 307200, 307478, 307486, 307198, 307475, 307482, 307485, 307479, 307201, 307488, 307202, 307489",,,,
"43965","7695",,,,,,"7695",,,,,
"43966",,"307439, 307443",,,,,,"307439, 307446, 307443, 307444, 307448, 307445",,,,
"43967",,"307361",,,,,,"307362, 307361, 307397, 307588, 307590, 307591, 307364, 307450, 307723, 307724, 307725, 307726, 307727, 307734, 307728, 307729, 307735, 307730, 307731, 307732, 307733, 307736, 307737, 307592, 307739",,,,
"43968",,"307281, 307439, 307440, 307441, 307459, 307456, 307457",,,,,,"307279, 307452, 307453, 307454, 307281, 307280, 307455, 307439, 307282, 307283, 307440, 307441, 307459, 307456, 307284, 307457, 307460, 307444, 307461, 307462, 307287, 307286, 307288, 307445",,,,
"43970","7694",,,,,,"7694",,,,,
"43972",,"307458, 307457",,,,,,"307451, 307452, 307453, 307454, 307314, 307455, 307458, 307457, 307460, 307461, 307316, 307317, 307318, 307462, 307463, 307319, 307320",,,,
"43973",,"307458, 307459, 307456",,,,,,"307056, 307055, 307451, 307452, 307453, 307058, 307057, 307455, 307458, 307459, 307456, 307460, 307461, 307462, 307463",,,,
"43976",,"307242, 307243, 307244, 307841",,,,,,"307242, 307243, 307244, 307247, 307246, 307248, 307249, 307250, 307251, 307841",,,,
"44020",,"307840",,,,,,"307840",,,,
"44023",,"307625",,,,,,"307848, 307846, 307619, 307620, 307621, 307622, 307623, 307850, 307625",,,,
"44037",,"309243",,,,,,"308950, 308953, 309064, 309066, 309065, 309234, 308951, 309235, 309166, 309167, 309236, 309168, 309169, 309170, 309237, 309238, 309240, 309241, 309172, 309171, 308957, 308958, 309174, 308956, 308959, 309243, 309069, 309070",,,,
"44055",,"309023, 309025",,,,,,"308839, 308840, 308871, 308873, 308872, 309049, 308841, 309018, 309016, 308842, 309050, 309019, 309020, 308874, 309051, 308875, 309052, 308876, 308843, 309022, 308877, 309053, 309023, 309025, 308847, 308846, 309026, 308879, 308880, 308848, 308881, 309027",,,,
"44056",,"309242, 309024, 309025",,,,,,"309015, 309233, 309234, 309235, 309018, 309016, 309236, 309019, 309020, 309240, 309241, 309242, 309022, 309024, 309025, 309026, 309027",,,,
"44060",,"309024, 309023",,,,,,"309015, 309018, 309016, 309019, 309020, 309022, 309024, 309023, 309026, 309027",,,,
"44071","8378","310664","71733","487557","438629","1025704","8378","310661, 310662, 310713, 310715, 310664, 310665, 310716, 310717, 310718, 311299, 311300, 311301, 310719, 311307, 311306, 311308, 310723, 311303, 310722, 310720, 310721, 311304, 311305, 311302, 310724, 310666, 310667, 311309","71733","487557","438629","1025704"
"44072","8378","310737","71733","487559","438639","1025704","8378","310737, 310738, 310739","71733","487559","438639","1025704"
"44073","8378","310741","71733",,"438641","1025704","8378","310741, 310742, 310743, 310744","71733",,"438641","1025704"
"44075","8377","310663","71732","487558","438628","1025703","8377","310661, 310662, 310713, 310663, 310715, 310665, 310716, 310717, 310718, 311299, 311300, 311301, 310719, 311307, 311306, 311308, 310723, 311303, 310722, 310720, 310721, 311304, 311305, 311302, 310724, 310666, 310667, 311309","71732","487558","438628","1025703"
"44076","8377","310736","71732","487560","438638","1025703","8377","310736, 310738, 310739","71732","487560","438638","1025703"
"44077","8377","310740","71732",,"438640","1025703","8377","310740, 310742, 310743, 310744","71732",,"438640","1025703"
"44085","8561",,"71836","487604","438802","1025801","8561",,"71836","487604","438802","1025801"
"44086","8561",,"71836","487604","438802, 438804, 438806","1025801","8561",,"71836","487604","438802, 438804, 438806","1025801"
"44087","8561",,"71836","487610","438818","1025801","8561",,"71836","487610","438818","1025801"
"44088","8561","311643","71836","487612","438820","1025801","8561","311643","71836","487612","438820","1025801"
"44099",,"311855",,,,,,"311578, 311581, 311849, 311850, 311579, 311852, 311582, 311583, 311853, 311854, 311855, 311874, 311878, 311864, 311862, 311863, 311875, 311872, 311585, 311586, 311869, 311877, 311584, 311865, 311866, 311873, 311876, 311870, 311587, 311879, 311880, 311881, 311856, 311857",,,,
"44102",,"311670",,,,,,"311666, 311668, 311669, 311670, 311672, 311674, 311673",,,,
"44115","8693",,,,,,"8693",,,,,
"44124","8692, 8699",,,,,,"8692, 8699",,,,,
"44125","8598",,,,,,"8598",,,,,
"44134","8719",,"71759","487597","438833","1025798","8719",,"71759","487597","438833","1025798"
"44138","8698",,,,,,"8698",,,,,
"44140","8597",,,,,,"8597",,,,,
"44144","8718",,"71758","487596","438834","1025799","8718",,"71758","487596","438834","1025799"
"44146","8560",,"71835","487605","438803","1025800","8560",,"71835","487605","438803","1025800"
"44147","8560",,"71835","487605","438803, 438807, 438805","1025800","8560",,"71835","487605","438803, 438807, 438805","1025800"
"44148","8560",,"71835","487611","438819","1025800","8560",,"71835","487611","438819","1025800"
"44149","8560","311642","71835","487613","438821","1025800","8560","311642","71835","487613","438821","1025800"
"44151","8592",,,"487599","438859",,"8592",,,"487599","438859",
"44152","8591",,,"487598","438858",,"8591",,,"487598","438858",
"44188",,"311667",,,,,,"311666, 311667, 311668, 311669, 311672, 311674, 311673, 312163",,,"438849",
"44198",,"311851",,,,,,"311849, 311850, 311851, 311852, 311853, 311854, 311856, 311857",,,,
"44224","9574, 9575",,"72274, 72275",,,"1026303, 1026304","9574, 9575",,"72274, 72275",,,"1026303, 1026304"
"44225","9574, 9575",,"72274, 72275",,,,"9574, 9575",,"72274, 72275",,,
"44227","9573, 9575",,"72273, 72275",,,"1026302, 1026304","9573, 9575","316500, 316501, 316503","72273, 72275",,,"1026302, 1026304"
"44228","9573, 9575",,"72273, 72275",,,,"9573, 9575",,"72273, 72275",,,
"44231","9573, 9574",,"72273, 72274",,,"1026302, 1026303","9573, 9574",,"72273, 72274",,,"1026302, 1026303"
"44232","9573, 9574",,"72273, 72274",,,,"9573, 9574",,"72273, 72274",,,
"44237",,,"72466","487898, 487896, 487899","439666",,,,"72466","487893, 487895, 487898, 487896, 487899","439664, 439666",
"44239",,,,"487897, 487899",,,,"317337, 317338, 317339, 317340, 317342, 317343",,"487897, 487899",,
"44240",,"317318","72465","487897, 487894, 487899","439665",,,"317320, 317321, 317322, 317323, 317318, 317324, 317325, 317326, 317327","72465","487893, 487895, 487897, 487894, 487899","439664, 439665",
"44243",,,,"487897, 487898",,,,,,"487897, 487898",,
"44244",,,,"487897, 487898",,,,,,"487897, 487898",,
"44250",,"317317",,,,,,"317320, 317321, 317322, 317317, 317323, 317277, 317280, 317324, 317325, 317326, 317358, 317281, 317282, 317359, 317327, 317283, 317284",,,,
"44251",,"317317",,,,,,"317320, 317321, 317322, 317317, 317323, 317277, 317280, 317324, 317325, 317326, 317358, 317281, 317282, 317359, 317327, 317283, 317284",,,,
"44268","10065",,,"487968","439844",,"10065",,,"487968","439844",
"44269","10065",,,"487968","439844",,"10065",,,"487968","439844",
"44270","10065",,,"487968","439844",,"10065",,,"487968","439844",
"44271","10064",,,"487967","439843",,"10064",,,"487967","439843",
"44272","10064",,,"487967","439843",,"10064",,,"487967","439843",
"44273","10064",,,"487967","439843",,"10064",,,"487967","439843",
"44301","11119",,,,,,"11119",,,,,
"44304",,"323520, 323521",,,,,,"323515, 323516, 323517, 323518, 323520, 323521, 323522",,,,
"44308",,"323519, 322975",,,,,,"322967, 322966, 323559, 322968, 323561, 322969, 323356, 322970, 323515, 323357, 322971, 322972, 322973, 323518, 323562, 323519, 322975, 323563, 322977, 323566, 322976, 323567, 323735, 323360, 322978, 322979, 323568, 322980, 322982, 322981",,,,
"44309",,"323519, 322975",,,,,,"322967, 322966, 323559, 322968, 323561, 322969, 323356, 322970, 323515, 323357, 322971, 322972, 322973, 323518, 323562, 323519, 322975, 323563, 322977, 323566, 322976, 323567, 323735, 323360, 322978, 322979, 323568, 322980, 322982, 322981",,,,
"44310",,"323519, 322975",,,,,,"322967, 322966, 323559, 322968, 323561, 322969, 323356, 322970, 323515, 323357, 322971, 322972, 322973, 323518, 323562, 323519, 322975, 323563, 322977, 323566, 322976, 323567, 323735, 323360, 322978, 322979, 323568, 322980, 322982, 322981",,,,
"44311",,"323519, 322975",,,,,,"322967, 322966, 323559, 322968, 323561, 322969, 323356, 322970, 323515, 323357, 322971, 322972, 322973, 323518, 323562, 323519, 322975, 323563, 322977, 323566, 322976, 323567, 323735, 323360, 322978, 322979, 323568, 322980, 322982, 322981",,,,
"44313",,"323513, 323512",,,,,,"323511, 323513, 323512",,,,
"44314",,"323519, 322974",,,,,,"322967, 322966, 323559, 323070, 322968, 323072, 322969, 323073, 323074, 322970, 323515, 322971, 322972, 323075, 323076, 322973, 323511, 323518, 323077, 323519, 322974, 323563, 322977, 323576, 323577, 323566, 322976, 323567, 323579, 323580, 323079, 323080, 322978, 322979, 323568, 322980, 323581, 322982, 322981, 323082, 323083",,,,
"44315","11118",,,,,,"11118","323087, 323260, 323090, 323261, 323088, 323089, 323091, 323262, 323263, 323258, 323259, 323294, 323092, 323093, 323349, 323350, 323351, 323264, 323265, 323352, 323096, 323267, 323097",,,,
"44348","11454, 11360, 11455, 11361, 11362, 11456, 11363","325167, 325168, 325169, 325164","73291","488276, 488278, 488277, 488279","440834","1027210","11454, 11360, 11455, 11361, 11362, 11456, 11363","325167, 325168, 325169, 325164, 325165, 325170, 325171, 325172","73291","488276, 488278, 488277, 488279","440834","1027210"
"44349","11454, 11360, 11455, 11361, 11362, 11456, 11363","325167, 325168, 325169, 325164","73291","488276, 488278, 488277, 488279","440834","1027210","11454, 11360, 11455, 11361, 11362, 11456, 11363","325167, 325168, 325169, 325164, 325165, 325170, 325171, 325172","73291","488276, 488278, 488277, 488279","440834","1027210"
"44350",,"325006, 325007, 325009","73290","488275, 488278, 488277, 488279",,,,"325005, 325006, 325007, 325009, 325374, 325377, 325010, 325011, 325378, 325379, 325380, 325013, 325381, 325382, 325014, 325383, 325384","73290","488275, 488278, 488277, 488279",,
"44351","11453, 11359, 11455, 11361, 11362, 11456, 11363","325006, 325007, 325009","73290","488275, 488278, 488277, 488279",,"1027209","11453, 11359, 11455, 11361, 11362, 11456, 11363","325005, 325006, 325007, 325009, 325374, 325377, 325010, 325011, 325378, 325379, 325380, 325013, 325381, 325382, 325014, 325383, 325384","73290","488275, 488278, 488277, 488279",,"1027209"
"44352","11453, 11359, 11455, 11361, 11362, 11456, 11363",,"73290","488275, 488278, 488277, 488279",,"1027209","11453, 11359, 11455, 11361, 11362, 11456, 11363",,"73290","488275, 488278, 488277, 488279",,"1027209"
"44353",,"325166, 325173, 325168, 325169, 325164",,"488275, 488276, 488277, 488279",,,,"325166, 325173, 325168, 325169, 325164, 325165, 325175, 325170, 325177, 325178, 325179, 325171, 325180, 325181, 325778, 325779, 325781, 325782, 325780, 325783, 325784, 325172, 325785",,"488275, 488276, 488277, 488279",,
"44356","11453, 11359, 11454, 11360, 11342, 11362, 11456, 11381, 11363",,"73293","488275, 488276, 488278, 488279","440833","1027195, 1027222","11453, 11359, 11454, 11360, 11342, 11362, 11456, 11381, 11363",,"73293","488275, 488276, 488278, 488279","440833","1027195, 1027222"
"44357",,"325008, 325007, 325009",,,,,,"325005, 325008, 325007, 325009, 325010, 325011, 325013, 325014",,,,
"44358",,"325008, 325007, 325009",,,,,,"325005, 325008, 325007, 325009, 325010, 325011, 325013, 325014",,,,
"44359",,"325008, 325174, 325006, 325009",,,,,,"325005, 325008, 325174, 325006, 325009, 325175, 325010, 325011, 325176, 325177, 325178, 325179, 325180, 325181, 325013, 325014",,,,
"44360","11341","325008, 325006, 325007","73292","488275, 488276, 488278, 488277",,"1027196","11341","325005, 325008, 325006, 325007, 325374, 325377, 325010, 325011, 325378, 325379, 325183, 325380, 325184, 325013, 325381, 325382, 325014, 325383, 325384","73292","488275, 488276, 488278, 488277",,"1027196"
"44361","11341",,"73292",,,"1027196","11341","325183, 325184","73292",,,"1027196"
"44362","11341",,"73292",,,"1027196","11341","325183, 325184","73292",,,"1027196"
"44363","11359, 11360, 11361, 11363, 11476",,,,,,"11359, 11360, 11361, 11363, 11476",,,,,
"44364","11359, 11360, 11361, 11363, 11476","325166, 325167, 325169, 325186, 325164",,,,,"11359, 11360, 11361, 11363, 11476","325166, 325167, 325169, 325186, 325164, 325165, 325170, 325171, 325778, 325779, 325781, 325782, 325780, 325783, 325784, 325172, 325785",,,,
