change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian,"conqat, deckard","conqat, iclones","conqat, nicad5","conqat, simcad","conqat, simian","deckard, iclones","deckard, nicad5","deckard, simcad","deckard, simian","iclones, nicad5","iclones, simcad","iclones, simian","nicad5, simcad","nicad5, simian","simcad, simian","conqat, deckard, iclones","conqat, deckard, nicad5","conqat, deckard, simcad","conqat, deckard, simian","conqat, iclones, nicad5","conqat, iclones, simcad","conqat, iclones, simian","conqat, nicad5, simcad","conqat, nicad5, simian","conqat, simcad, simian","deckard, iclones, nicad5","deckard, iclones, simcad","deckard, iclones, simian","deckard, nicad5, simcad","deckard, nicad5, simian","deckard, simcad, simian","iclones, nicad5, simcad","iclones, nicad5, simian","iclones, simcad, simian","nicad5, simcad, simian","conqat, deckard, iclones, nicad5","conqat, deckard, iclones, simcad","conqat, deckard, iclones, simian","conqat, deckard, nicad5, simcad","conqat, deckard, nicad5, simian","conqat, deckard, simcad, simian","conqat, iclones, nicad5, simcad","conqat, iclones, nicad5, simian","conqat, iclones, simcad, simian","conqat, nicad5, simcad, simian","deckard, iclones, nicad5, simcad","deckard, iclones, nicad5, simian","deckard, iclones, simcad, simian","deckard, nicad5, simcad, simian","iclones, nicad5, simcad, simian","conqat, deckard, iclones, nicad5, simcad","conqat, deckard, iclones, nicad5, simian","conqat, deckard, iclones, simcad, simian","conqat, deckard, nicad5, simcad, simian","conqat, iclones, nicad5, simcad, simian","deckard, iclones, nicad5, simcad, simian"
10661,10,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10662,10,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10664,9,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10666,149,0,0.959731544,0,0,0.147651007,0,0.959731544,0,0,0.147651007,0,0.959731544,0.959731544,1,0.959731544,0,0.147651007,0,0.147651007,0,0.147651007,0.959731544,0.959731544,1,0.959731544,0,0.147651007,0,0.147651007,0,0.147651007,0.959731544,1,0.959731544,1,0.959731544,1,0.147651007,0,0.147651007,0.147651007,0.959731544,1,0.959731544,1,0.959731544,1,0.147651007,0,0.147651007,0.147651007,1,0.959731544,1,1,0.147651007,1,0.959731544,1,1,0.147651007,1
10667,22,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
10671,37,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10672,32,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10673,30,0,0.966666667,0,0,0,0.066666667,0.966666667,0,0,0,0.066666667,0.966666667,0.966666667,0.966666667,1,0,0,0.066666667,0,0.066666667,0.066666667,0.966666667,0.966666667,0.966666667,1,0,0,0.066666667,0,0.066666667,0.066666667,0.966666667,0.966666667,1,0.966666667,1,1,0,0.066666667,0.066666667,0.066666667,0.966666667,0.966666667,1,0.966666667,1,1,0,0.066666667,0.066666667,0.066666667,0.966666667,1,1,1,0.066666667,0.966666667,1,1,1,0.066666667,1
10674,132,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10675,138,0,0.956521739,0,0,0.15942029,0,0.956521739,0,0,0.15942029,0,0.956521739,0.956521739,1,0.956521739,0,0.15942029,0,0.15942029,0,0.15942029,0.956521739,0.956521739,1,0.956521739,0,0.15942029,0,0.15942029,0,0.15942029,0.956521739,1,0.956521739,1,0.956521739,1,0.15942029,0,0.15942029,0.15942029,0.956521739,1,0.956521739,1,0.956521739,1,0.15942029,0,0.15942029,0.15942029,1,0.956521739,1,1,0.15942029,1,0.956521739,1,1,0.15942029,1
10676,22,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
10680,32,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10682,20,0.1,0.95,0,0,0,0,1,0.1,0.1,0.1,0.1,0.95,0.95,0.95,0.95,0,0,0,0,0,0,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,1,1,1,1,1,1,0.1,0.1,0.1,0.1,0.95,0.95,0.95,0.95,0,1,1,1,1,0.1,0.95
10683,6,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10684,6,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10686,38,0.078947368,0.921052632,0,0,0,0,1,0.078947368,0.078947368,0.078947368,0.078947368,0.921052632,0.921052632,0.921052632,0.921052632,0,0,0,0,0,0,1,1,1,1,0.078947368,0.078947368,0.078947368,0.078947368,0.078947368,0.078947368,0.921052632,0.921052632,0.921052632,0.921052632,0.921052632,0.921052632,0,0,0,0,1,1,1,1,1,1,0.078947368,0.078947368,0.078947368,0.078947368,0.921052632,0.921052632,0.921052632,0.921052632,0,1,1,1,1,0.078947368,0.921052632
10687,161,0.01863354,0.99378882,0,0,0,0,1,0.01863354,0.01863354,0.01863354,0.01863354,0.99378882,0.99378882,0.99378882,0.99378882,0,0,0,0,0,0,1,1,1,1,0.01863354,0.01863354,0.01863354,0.01863354,0.01863354,0.01863354,0.99378882,0.99378882,0.99378882,0.99378882,0.99378882,0.99378882,0,0,0,0,1,1,1,1,1,1,0.01863354,0.01863354,0.01863354,0.01863354,0.99378882,0.99378882,0.99378882,0.99378882,0,1,1,1,1,0.01863354,0.99378882
10688,160,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10690,6,0.666666667,0,0,0,0.666666667,0,0.666666667,0.666666667,0.666666667,1,0.666666667,0,0,0.666666667,0,0,0.666666667,0,0.666666667,0,0.666666667,0.666666667,0.666666667,1,0.666666667,0.666666667,1,0.666666667,1,0.666666667,1,0,0.666666667,0,0.666666667,0,0.666666667,0.666666667,0,0.666666667,0.666666667,0.666666667,1,0.666666667,1,0.666666667,1,1,0.666666667,1,1,0.666666667,0,0.666666667,0.666666667,0.666666667,1,0.666666667,1,1,1,0.666666667
10691,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
10695,19,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10696,19,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10697,2,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10698,24,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10699,27,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10700,27,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10701,27,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10705,5,0.4,0.8,0.4,0.4,0.4,0.4,1,0.4,0.4,0.4,0.4,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,1,1,0.4,0.4,0.4,0.4,1,1,1,1,1,1,0.4,0.4,0.4,0.4,1,1,1,1,0.4,1,1,1,1,0.4,1
10706,44,0.068181818,0.954545455,0.045454545,0.045454545,0.045454545,0.045454545,1,0.068181818,0.068181818,0.068181818,0.068181818,0.977272727,0.977272727,0.977272727,0.977272727,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,1,1,1,1,0.068181818,0.068181818,0.068181818,0.068181818,0.068181818,0.068181818,0.977272727,0.977272727,0.977272727,0.977272727,0.977272727,0.977272727,0.045454545,0.045454545,0.045454545,0.045454545,1,1,1,1,1,1,0.068181818,0.068181818,0.068181818,0.068181818,0.977272727,0.977272727,0.977272727,0.977272727,0.045454545,1,1,1,1,0.068181818,0.977272727
10707,168,0,0.988095238,0,0,0.017857143,0,0.988095238,0,0,0.017857143,0,0.988095238,0.988095238,1,0.988095238,0,0.017857143,0,0.017857143,0,0.017857143,0.988095238,0.988095238,1,0.988095238,0,0.017857143,0,0.017857143,0,0.017857143,0.988095238,1,0.988095238,1,0.988095238,1,0.017857143,0,0.017857143,0.017857143,0.988095238,1,0.988095238,1,0.988095238,1,0.017857143,0,0.017857143,0.017857143,1,0.988095238,1,1,0.017857143,1,0.988095238,1,1,0.017857143,1
10708,168,0,0.988095238,0,0,0.017857143,0,0.988095238,0,0,0.017857143,0,0.988095238,0.988095238,1,0.988095238,0,0.017857143,0,0.017857143,0,0.017857143,0.988095238,0.988095238,1,0.988095238,0,0.017857143,0,0.017857143,0,0.017857143,0.988095238,1,0.988095238,1,0.988095238,1,0.017857143,0,0.017857143,0.017857143,0.988095238,1,0.988095238,1,0.988095238,1,0.017857143,0,0.017857143,0.017857143,1,0.988095238,1,1,0.017857143,1,0.988095238,1,1,0.017857143,1
10709,166,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1
10711,182,0.054945055,0.967032967,0.005494505,0.005494505,0.005494505,0.005494505,1,0.054945055,0.054945055,0.054945055,0.054945055,0.967032967,0.967032967,0.967032967,0.967032967,0.005494505,0.005494505,0.005494505,0.005494505,0.005494505,0.005494505,1,1,1,1,0.054945055,0.054945055,0.054945055,0.054945055,0.054945055,0.054945055,0.967032967,0.967032967,0.967032967,0.967032967,0.967032967,0.967032967,0.005494505,0.005494505,0.005494505,0.005494505,1,1,1,1,1,1,0.054945055,0.054945055,0.054945055,0.054945055,0.967032967,0.967032967,0.967032967,0.967032967,0.005494505,1,1,1,1,0.054945055,0.967032967
10712,182,0.054945055,0.967032967,0.005494505,0.005494505,0.005494505,0.005494505,1,0.054945055,0.054945055,0.054945055,0.054945055,0.967032967,0.967032967,0.967032967,0.967032967,0.005494505,0.005494505,0.005494505,0.005494505,0.005494505,0.005494505,1,1,1,1,0.054945055,0.054945055,0.054945055,0.054945055,0.054945055,0.054945055,0.967032967,0.967032967,0.967032967,0.967032967,0.967032967,0.967032967,0.005494505,0.005494505,0.005494505,0.005494505,1,1,1,1,1,1,0.054945055,0.054945055,0.054945055,0.054945055,0.967032967,0.967032967,0.967032967,0.967032967,0.005494505,1,1,1,1,0.054945055,0.967032967
