,,Detection Recall,,,,,
change_id,num_cloned_cochange,conqat,deckard,iclones,nicad5,simcad,simian
43102,4,0,0,0,0,1,0
43108,8,0,1,0,0,0,0
43122,6,0,1,0,0,0,0
43123,6,0,1,0,0,0.33,0
43124,6,0,1,0,0,0.33,0
43125,3,0,1,0,0,0,0
43126,7,0,1,0,0,0.43,0
43127,7,0,1,0,0,0,0
43128,3,0,0,0,0,1,0
43130,1,0,0,0,0,1,0
43131,2,0,0.5,0,0,0.5,0
43132,2,0,0.5,0,0,0.5,0
43133,1,0,1,0,0,0,0
43134,7,0,1,0,0,0,0
43135,7,0,1,0,0,0,0
43136,6,0,1,0,0,0,0
43141,3,0,1,0,0,0,0
43142,1,0,1,0,0,0,0
43145,1,0,1,0,0,0,0
43147,9,0,1,0,0,0,0
43149,11,0,1,0,0,0,0
43151,3,0,1,0,0,0,0
43152,3,0,1,0,0,0,0
43153,6,0,1,0,0,0,0
43154,6,0,1,0,0,0,0
43156,2,0,1,0,0,0,0
43157,2,0,1,0,0,0,0
43158,2,0,1,0,0,0,0
43170,7,0,0.86,0,0,0.14,0
43171,7,0,0.86,0,0,0.14,0
43172,1,0,0,0,0,1,0
43173,1,0,0,0,0,1,0
43176,13,0,1,0,0,0,0
43187,16,0,1,0,0,0,0
43188,16,0,1,0,0,0,0
43189,16,0,1,0,0,0,0
43190,16,0,1,0,0,0,0
43191,16,0,1,0,0,0,0
43202,19,0,1,0,0,0,0
43209,2,0,1,0,0,0,0
43210,2,0,1,0,0,0,0
43211,24,0,1,0,0,0,0
43212,18,0,1,0,0,0,0
43229,1,0,1,0,0,0,0
43230,9,0,1,0,0,0,0
43235,5,0,1,0,0,0,0
43236,5,0,1,0,0,0,0
43237,5,0,1,0,0,0,0
43240,1,0,1,0,0,0,0
43241,1,0,1,0,0,0,0
43242,4,0,1,0,0,0,0
43245,7,0,1,0,0,0,0
43246,13,0,1,0,0,0,0
43248,5,0,1,0,0,0,0
43249,5,0,1,0,0,0,0
43250,5,0,1,0,0,0,0
43251,18,0,1,0,0,0,0
43252,1,0,1,0,0,0,0
43254,5,0,1,0,0,0,0
43255,6,0,1,0,0,0,0
43257,12,0,1,0,0,0,0
43258,3,0,1,0,0,0,0
43259,12,0,1,0,0,0,0
43260,12,0,1,0,0,0,0
43262,1,0,1,0,0,0,0
43263,1,0,1,0,0,0,0
43264,13,0,1,0,0,0,0
43265,13,0,1,0,0,0,0
43266,13,0,1,0,0,0,0
43267,1,1,0,0,0,0,0
43268,1,1,0,0,0,0,0
43270,2,1,0,0,0,0,0
43273,7,0,1,0,0,0,0
43274,2,0,1,0,0,0,0
43275,1,0,1,0,0,0,0
43276,1,0,1,0,0,0,0
43278,4,0,1,0,0,0,0
43283,1,0,1,0,0,0,0
43289,1,0,1,0,0,0,0
43291,1,0,1,0,0,0,0
43294,11,0,0.82,0,0,0.18,0
43299,11,0,1,0,0,0,0
43300,7,0,1,0,0,0,0
43301,7,0,1,0,0,0,0
43304,5,0.4,0.6,0.4,0.4,0,0
43305,2,1,0,1,1,0,0
43306,2,0,0,1,1,0,0
43308,12,0,1,0,0,0,0
43309,6,0,1,0,0,0,0
43310,6,0,1,0,0,0,0
43311,1,0,1,0,0,0,0
43313,12,0.58,0.67,0,0,0,0
43314,7,1,0,0,0,0,0
43315,12,0.58,0.67,0,0,0,0
43316,12,0.58,0.67,0,0,0,0
43317,12,0.58,0.67,0,0,0,0
43318,6,1,0,0,0,0,0
43319,6,1,0,0,0,0,0
43320,7,1,0,0,0,0,0
43321,15,0,1,0,0,0,0
43322,19,0,1,0,0,0,0
43325,7,0,1,0,0,0,0
43330,6,0,1,0,0,0,0
43331,6,0,1,0,0,0,0
43332,6,0,1,0,0,0,0
43333,1,0,1,0,0,0,0
43336,3,0.67,0,1,1,0,0
43337,3,0.67,0,1,1,0,0
43347,2,0,1,0,0,0,0
43358,2,0.5,0.5,0.5,0.5,0,0
43359,2,0.5,0,0.5,0.5,0.5,0
43363,1,0,0,1,1,1,0
43364,1,0,0,1,1,1,0
43366,2,0,1,0,0,0,0
43369,9,0,1,0,0,0,0
43377,8,0,1,0,0,0,0
43378,4,0,1,0,0,0,0
43383,9,0,1,0,0,0,0
43385,13,0,1,0,0,0,0
43386,2,0,1,0,0,0,0
43389,1,0,1,0,0,0,0
43391,7,0,1,0,0,0,0
43392,7,0,1,0,0,0,0
43395,1,0,0,0,0,1,0
43396,1,0,0,0,0,1,0
43407,13,0,1,0,0,0,0
43408,13,0,1,0,0,0,0
43415,14,0,1,0,0,0,0
43417,1,0,1,0,0,0,0
43425,9,0,1,0,0,0,0
43434,7,0,1,0,0,0,0
43436,2,0,1,0,0,0,0
43437,2,0,1,0,0,0,0
43440,1,0,0,0,0,1,0
43442,2,0,1,0,0,0,0
43480,5,0,1,0,0,0,0
43490,7,0,1,0,0,0,0
43494,2,1,0,1,1,1,1
43495,9,0.22,0.89,0.22,0.22,0.22,0.22
43496,2,1,0,1,1,1,1
43497,9,0.22,0.89,0.22,0.22,0.22,0.22
43500,1,0,1,0,0,0,0
43506,7,0,1,0,0,0,0
