,,Detection Recall,,,,,
change_id,num_cloned_cochange,conqat,deckard,iclones,nicad5,simcad,simian
45035,7,0,1,0,0,0,0
45036,13,0.38,0.69,0,0.15,0,0
45040,54,0.06,0.91,0.07,0.09,0.09,0
45041,7,0.43,0.71,0.57,0.71,0.71,0
45045,124,0.03,0.98,0.02,0,0,0
45046,58,0,1,0,0,0,0
45047,58,0,1,0,0,0,0
45048,58,0,1,0,0,0,0
45049,78,0,0.95,0.06,0.09,0,0
45050,123,0.05,0.96,0.04,0.06,0.02,0
45051,126,0.05,0.97,0.04,0.06,0.02,0
45052,106,0.08,0.96,0.05,0.07,0.03,0
45053,37,0.08,0.86,0.14,0.19,0.08,0
45054,34,0.09,0.85,0.15,0.21,0.09,0
45055,54,0.06,0.93,0.09,0.13,0,0
45056,29,0,1,0,0,0,0
45057,29,0,1,0,0,0,0
45058,29,0,1,0,0,0,0
45059,29,0,1,0,0,0,0
45061,3,1,0,0,0,1,0
45062,3,1,0,0,0,1,0
45063,83,0,1,0,0,0,0
45064,97,0,1,0,0,0,0
45065,6,0.67,0.5,0.67,0,0,0
45066,11,0.36,0.82,0.36,0,0,0
45067,29,0.14,0.93,0.14,0,0.03,0
45068,29,0,0.93,0.14,0,0,0
45069,24,0,1,0,0,0,0
45070,24,0,1,0,0,0,0
45071,24,0,1,0,0,0,0
45072,36,0.14,0.67,0,0.36,0,0
45073,55,0.09,0.91,0,0.24,0.11,0
45074,53,0,0.79,0,0.25,0,0
45075,57,0.05,0.74,0,0.23,0.07,0
45076,17,0.18,0,0,0.76,0.24,0
45077,13,0,0,0,1,0,0
45081,1,1,0,0,1,0,0
45082,65,0.06,0.94,0,0.05,0.03,0
45083,17,0.12,0.88,0.12,0.12,0.12,0
45084,19,0.11,0.95,0.11,0.11,0.11,0
45085,4,0.5,0.75,0.5,0.5,0.5,0
45086,4,0,0.75,0.5,0.5,0.5,0
45090,3,1,0,0.33,0,0,0
45091,4,0.75,0.25,0.25,0,0,0
45092,1,0,1,0,0,0,0
45093,1,0,1,0,0,0,0
45094,1,0,1,0,0,0,0
45095,8,0,0.13,0,0.88,0,0
45096,8,0,0.13,0,0.88,0,0
45097,79,0,1,0.09,0.09,0,0
45098,79,0.04,1,0.09,0.09,0.06,0
45099,14,0.43,0.64,0.5,0.5,0.36,0
45100,7,0.57,0,1,1,0.71,0
45101,37,0.11,0.86,0.19,0.19,0,0
45102,110,0.04,0.99,0,0,0,0
45103,84,0.05,0.99,0,0,0,0
45104,26,0.08,0.92,0,0,0.08,0
45105,26,0.08,0.92,0,0,0.08,0
45106,26,0.08,0.92,0,0,0.08,0
45107,26,0,0.92,0,0,0.08,0
45108,122,0,1,0,0,0,0
45109,120,0,1,0,0,0,0
45110,122,0,0.98,0,0.02,0.02,0
45111,4,0,0.75,0,0.75,0.75,0
45112,5,0,0.8,0,0.6,0.6,0
45116,3,0,0,0,1,1,0
45117,25,0,0.96,0,0.12,0.12,0
45118,26,0,0.96,0,0.12,0.12,0
45119,21,0,1,0,0,0,0
45120,18,0,1,0,0,0,0
45121,11,0,1,0,0,0,0
45122,11,0,1,0,0,0,0
45123,11,0,1,0,0,0,0
45124,11,0,1,0,0,0,0
45125,4,0,0,0,0,1,0
45126,4,0,0,0,0,1,0
45127,34,0,0.88,0,0,0.12,0
45128,34,0,0.88,0,0,0.12,0
45132,17,0,0.59,0,0,0.41,0
45133,10,0,1,0,0,0,0
45134,10,0,1,0,0,0,0
45135,10,0,1,0,0,0,0
45136,75,0,1,0,0,0,0
45140,5,0,0,0,0,1,0
45141,5,0,0,0,0,1,0
45142,5,0,0,0,0,1,0
45148,45,0,1,0,0,0,0
45149,45,0,1,0,0,0,0
45150,16,0,1,0,0,0,0
45151,16,0,1,0,0,0,0
45156,3,0,0,0,1,0.33,0
45158,53,0,0.94,0,0.06,0.02,0
45160,8,0,0.63,0,0.38,0.13,0
45161,5,0,1,0,0,0,0
45162,3,0,0,0,1,0.33,0
45164,15,0,1,0,0,0,0
45169,109,0,1,0,0,0,0
45170,109,0,1,0,0,0,0
45171,109,0,1,0,0,0,0
45172,109,0,1,0,0,0,0
45182,85,0,1,0,0,0,0
45184,65,0,1,0,0,0,0
45185,65,0,1,0,0,0,0
45186,65,0,1,0,0,0,0
45187,65,0,1,0,0,0,0
45188,65,0,1,0,0,0,0
45191,39,0,1,0,0,0,0
45194,1,0,0,0,1,0,0
45196,24,0,0.96,0,0.04,0,0
45197,23,0,1,0,0,0,0
45213,47,0,1,0,0,0,0
45220,15,0,1,0,0,0,0
45221,15,0,1,0,0,0,0
45226,4,0,1,0,0,0,0
45228,1,0,1,0,0,0,0
45230,5,0,1,0,0,0,0
45231,5,0,1,0,0,0,0
45232,35,0,1,0,0,0,0
45233,35,0,1,0,0,0,0
45234,14,0,1,0,0,0,0
45235,14,0,1,0,0,0,0
45236,1,0,1,0,0,0,0
45238,7,0,1,0,0,0,0
45239,7,0,1,0,0,0,0
45240,32,0,0.59,0,0,0.41,0
45241,19,0,1,0,0,0,0
45249,2,0,1,0,0,0,0
45250,25,0,1,0,0,0,0
45251,25,0,1,0,0,0,0
45252,6,0,1,0,0,0,0
45253,4,0,1,0,0,0,0
45254,1,0,0,0,1,1,0
45256,1,0,0,0,1,1,0
45258,45,0,1,0,0,0,0
45273,2,0,1,0,0,0,0
45278,39,0,1,0,0,0,0
45279,39,0,1,0,0,0,0
45295,4,0,1,0,0,0,0
45301,55,0,1,0,0,0,0
45303,105,0,1,0,0,0,0
45304,105,0,1,0,0,0,0
45307,22,0,1,0,0,0,0
45308,22,0,1,0,0,0,0
45311,2,0,1,0,0,0,0
45394,2,0,0,0.5,0.5,0.5,1
45395,2,0,0,0,0,0,1
45398,26,0,0.96,0.04,0,0,0
45399,25,0,1,0,0,0,0
45400,25,0,1,0,0,0,0
45401,25,0,1,0,0,0,0
45402,1,0,0,0,0,1,0
45427,36,0,1,0,0,0,0
45430,39,0,1,0,0,0,0
45433,1,0,1,0,0,0,0
45434,1,0,1,0,0,0,0
45446,1,1,0,0,0,0,0
45460,10,0.5,0,0.8,1,0,0
45464,1,0,0,1,1,0,0
45465,1,1,0,1,1,0,0
45466,1,1,0,1,1,0,0
45467,1,0,0,1,1,0,0
45468,1,1,0,1,1,0,0
45469,1,1,0,1,1,0,0
45470,1,1,0,1,1,0,0
45471,1,0,0,1,1,0,0
45472,1,0,0,0,1,0,0
45473,2,0.5,0,0,0.5,0,0
45474,1,1,0,0,0,0,0
45487,5,0,0,0,1,0,0
45488,5,0,0,0,1,0,0
45489,5,0,0,0,1,0,0
45490,5,0,0,0,1,0,0
45491,5,0,0,0,1,0,0
45492,5,0,0,0,1,0,0
45493,5,0,0,0,1,0,0
45494,5,0,0,0,1,0,0
45495,5,0,0,0,1,0,0
45496,5,0,0,0,1,0,0
45499,1,1,0,0,0,0,0
45518,1,0,1,0,0,0,0
45519,2,1,0,0,0,0,0
45520,2,1,0,0,0,0,1
45521,2,1,0,0,0,0,1
45526,1,0,1,0,0,0,0
45529,16,0,1,0,0,0,0
45530,2,0,1,0,0,0,0
45540,6,0,1,0,0,0,0
45541,6,0,1,0,0,0,0
45552,4,0,1,0,0,0,0
45553,4,0,1,0,0,0,0
45554,4,0,1,0,0,0,0
45555,4,0,1,0,0,0,0
45565,1,0,0,0,0,1,0
45567,1,0,0,0,0,1,0
45577,2,0,1,0,0,0,0
45586,1,0,1,0,0,0,0
45589,3,1,0,0,0,0,0.67
45590,3,1,0,0,0,0,0.67
45598,7,0,1,0,0,0,0
45599,2,0,1,0,0,0,0
45600,2,0,1,0,0,0,0
45601,2,0,1,0,0,0,0
45611,2,0,1,0,0,0,0
45612,2,0,1,0,0,0,0
45621,7,0,1,0,0,0,0
45622,11,0,1,0,0,0,0
45623,11,0,1,0,0,0,0
45631,10,0,1,0,0,0,0
45632,10,0,1,0,0,0,0
45633,4,0,1,0,0,0,0
45637,2,0,1,0,0,0,0
45639,2,0,1,0,0,0,0
45643,2,0,1,0,0,0,0
45644,2,0,1,0,0,0,0
45646,2,0,1,0,0,0,0
45649,2,0,1,0,0,0,0
45650,9,0.11,0.67,0,0.11,0.22,0
45651,4,0.25,0.75,0,0.25,0,0
45652,1,0,1,0,0,0,0
45653,1,0,0,1,0,0,0
45654,5,0.2,1,0.2,0.2,0.2,0
45655,1,1,0,0,0,1,0
45656,5,0.2,0.6,0,0.2,0.2,0
45657,2,0.5,0.5,0,0.5,0,0
45658,7,0,0.86,0.14,0,0,0
45659,12,0.08,1,0.08,0.08,0.08,0
45660,5,0.2,0.8,0,0,0.2,0
45663,9,0,1,0.11,0.11,0.11,0
45664,9,0,1,0.11,0.11,0.11,0
45665,4,0,1,0,0,0,0
45667,2,0,0,0,1,0,0
45668,2,0,0,0,1,0,0
45669,12,0,0.83,0,0.17,0,0
45670,12,0,0.83,0,0.17,0,0
45675,12,0,0.92,0,0,0.08,0
45676,2,0,1,0,0,0,0
45678,4,0,0,1,0,0,0
45679,4,0,0,1,0,0,0
45680,4,0,0,1,0,0,0
45681,4,0,0,1,0,0,0
45684,4,0,0,1,0,0,0
45685,4,0,0,1,0,0,0
45686,7,0,0.43,0.57,0,0,0
45687,7,0,0.43,0.57,0,0,0
45688,3,0,1,0,0,0,0
45689,3,0,1,0,0,0,0
45690,4,0,1,0,0,0,0
45699,3,0,1,0,0,0,0
45700,2,0,1,0,0,0,0
45704,2,0,1,0,0,0,0
45705,2,0,1,0,0,0,0
45706,4,0,1,0,0,0,0
45711,14,0,1,0,0,0,0
45741,2,0,1,0,0,0,0
45752,8,0,1,0,0,0,0
45753,6,0,1,0,0,0,0
45754,3,0,1,0,0,0,0
45755,6,0,1,0,0,0,0
45756,3,0,1,0,0,0,0
45757,7,0,0.57,0,0,0.43,0
45758,4,0,1,0,0,0,0
45768,1,0,1,0,0,0,0
45769,1,0,1,0,0,0,0
45770,1,0,1,0,0,0,0
45771,1,0,1,0,0,0,0
45772,1,0,1,0,0,0,0
45773,2,0,0.5,0,0,0.5,0
45777,1,0,0,0,0,1,0
45779,3,0,1,0,0,0,0
45780,5,0,1,0,0,0,0
45783,2,0,1,0,0,0,0
45788,1,0,1,0,0,0,0
45789,1,0,1,0,0,0,0
45791,3,0,1,0,0,0,0
45802,8,0,1,0,0,0,0
45815,4,0,1,0,0,0,0
45816,18,0,1,0,0,0.06,0
45817,18,0,1,0,0,0,0
45820,19,0,1,0,0,0.05,0
45821,19,0,1,0,0,0,0
45824,20,0,1,0,0,0.2,0
45825,20,0,1,0,0,0,0
45826,20,0,1,0,0,0,0
45827,20,0,1,0,0,0,0
45828,18,0,1,0,0,0.22,0
45829,18,0,1,0,0,0,0
45832,18,0,1,0,0,0.22,0
45833,18,0,1,0,0,0,0
45836,18,0,1,0,0,0.22,0
45837,18,0,1,0,0,0,0
45840,14,0,1,0,0,0.29,0
45841,14,0,1,0,0,0,0
45842,14,0,1,0,0,0,0
45843,14,0,1,0,0,0,0
45844,14,0,1,0,0,0,0
45845,14,0,1,0,0,0,0
45859,4,0,1,0,0,0,0
45860,4,0,1,0,0,0,0
45863,6,0,0.83,0.17,0,0,0
45864,5,0,1,0,0,0,0
45865,1,0,0,1,0,0,0
45869,2,0,1,0,0,0,0
45870,2,0,1,0,0,0,0
45882,6,0,1,0,0,0,0
45884,1,0,1,0,0,0,0
45885,12,0,0.08,0,0.92,0.92,0
45886,12,0.83,0.08,0,0.92,0.92,0
45887,12,0.83,0.58,0.83,0.92,1,0.08
45888,12,0.83,0.08,0.83,0.92,0.92,0
45889,11,0.91,0,0.91,1,1,0.18
45890,13,0.77,0.54,0.77,0.85,1,0.08
45891,11,0.91,0,0.91,1,1,0
45892,7,0,0,0,1,1,0
45893,10,0.6,0.5,0.5,0.7,1,0.3
45894,10,0.6,0.5,0.5,0.7,1,0.3
45895,10,0.6,0.5,0.5,0.7,1,0.3
45896,10,0.6,0.3,0.5,0.7,0.7,0
45897,10,0.6,0.3,0.5,0.7,0.7,0.1
45898,7,0.86,0,0.71,1,1,0.14
45899,13,0.46,0.62,0.38,0.54,0.77,0.23
45900,13,0.46,0.62,0.38,0.54,0.77,0.23
45901,10,0.6,0.5,0.5,0.7,1,0.3
45902,7,0.86,0,0.71,1,1,0
45913,5,0.4,0.8,0,0,0,0
45917,4,0.25,1,0,0,0,0
45918,2,0.5,0.5,0,0,0,0
45924,5,0,1,0,0,0,0
45929,5,0,1,0,0,0,0
45943,1,0,0,0,1,0,0
45945,1,0,0,0,1,0,0
45949,12,0,0.92,0,0,0.08,0
45950,11,0,1,0,0,0,0
45965,2,0,1,0,0,0,0
46006,1,0,0,0,1,1,0
46008,1,0,0,0,1,1,0
46013,1,0,1,0,0,0,0
46014,9,0,0.44,0,0,0.11,0.67
46015,6,0,0,0,0,0,1
46016,6,0,0,0,0,0,1
46017,6,0,0,0,0,0,1
46018,6,0,0,0,0,0,1
46019,6,0,0,0,0,0,1
46029,1,0,0,0,1,1,0
46031,1,0,0,0,1,1,0
46033,1,0,1,0,0,0,0
46034,9,0,0.44,0,0,0.11,0.67
46035,6,0,0,0,0,0,1
46036,6,0,0,0,0,0,1
46037,6,0,0,0,0,0,1
46038,6,0,0,0,0,0,1
46039,6,0,0,0,0,0,1
46040,3,0,1,0,0,0,0
46041,3,0,1,0,0,0,0
46044,2,0,1,0,0,0,0
46047,2,0,1,0,0,0,0
46048,2,0,1,0,0,0,0
46065,3,0,1,0,0,0.33,0
46066,5,0,1,0,0,0.2,0
46067,1,0,0,0,0,1,0
46068,2,0,0.5,0,0,0.5,0
46069,1,0,1,0,0,0,0
46070,1,0,1,0,0,0,0
46073,1,0,1,0,0,0,0
46074,1,0,1,0,0,0,0
46081,5,0,0,0,1,1,0
46082,6,0.33,0.5,0,0.83,1,0
46083,5,0.8,0.2,0,1,1,0.2
46084,6,0.5,0.67,0,0.83,1,0
46085,5,0.6,0.4,0,1,1,0
46086,5,0,0,0,1,1,0
46087,7,0.29,0.43,0,1,0.86,0
46088,7,0.57,0.14,0,1,0.71,0.14
46089,7,0.43,0.57,0,1,0.86,0
46090,5,0.6,0.4,0,1,1,0
46097,3,0,1,0,0,1,0
46098,3,0,1,0,0,1,0
46099,3,0,1,0,0,1,0
46100,3,0,1,0,0,1,0
46101,4,0,1,0,0,0.75,0
46102,4,0,1,0,0,0.75,0
46112,3,0,1,0,0,0,0
46130,11,0,1,0,0,0,0
46143,1,0,1,0,0,0,0
46144,1,0,1,0,0,0,0
46147,1,0,0,0,1,0,0
46156,7,0,1,0,0,0,0
46157,7,0,1,0,0,0,0
46161,12,0,1,0,0,0,0
46179,2,1,1,1,0,1,0
46180,2,1,1,1,0,1,0
46181,2,1,1,1,0,1,0
46182,2,1,1,1,0,1,0
46185,5,0,1,0,0,0,0
46186,5,0,1,0,0,0,0
46193,10,0,1,0,0,0,0
46194,10,0,1,0,0,0,0
46195,6,0,1,0,0,0,0
46196,6,0,1,0,0,0,0
46197,10,0,1,0,0,0,0
46198,10,0,1,0,0,0,0
46199,10,0,1,0,0,0,0
46200,6,0,0.83,0,0,0.17,0
46201,8,0,1,0,0,0,0
46202,8,0,1,0,0,0,0
46203,8,0,1,0,0,0,0
46207,3,0,1,0,0,0,0
46208,3,0,1,0,0,0,0
46209,3,0,1,0,0,0,0
46210,1,0,0,0,0,1,0
46221,9,0,1,0,0,0.11,0
46222,9,0,1,0,0,0,0
46225,15,0,1,0,0,0.07,0
46226,15,0,1,0,0,0,0
46227,3,0,1,0,0,0,0
46234,6,0,1,0,0,0,0
46235,6,0,1,0,0,0,0
46236,19,0,1,0,0,0,0
46238,4,0,1,0,0,0,0
46239,4,0,1,0,0,0,0
46247,12,0,1,0,0,0,0
46249,1,1,1,0,0,0,0
46250,1,1,1,0,0,0,0
46251,1,0,0,0,1,0,0
46257,5,0,1,0,0,0,0
46258,1,0,1,0,0,0,0
46259,5,0,1,0,0,0,0
46260,5,0,1,0,0,0,0
46261,5,0,1,0,0,0,0
46262,5,0,1,0,0,0,0
46263,14,0,1,0,0,0,0
46264,20,0,1,0,0,0,0
46265,20,0,1,0,0,0,0
46270,4,0,1,0,0,0,0
46276,2,0,1,0,0,0,0
46277,2,0,1,0,0,0,0
46278,11,0,0.91,0,0.18,0,0
46279,10,0,1,0,0,0,0
46280,12,0,0.92,0,0.17,0.08,0
46281,11,0,1,0,0,0,0
46282,5,0,0.6,0,0.4,0.2,0
46283,3,0,1,0,0,0,0
46284,2,0,1,0,0,0,0
46285,1,0,1,0,0,0,0
46286,1,0,1,0,0,0,0
46287,14,0,1,0,0,0,0
46288,14,0,1,0,0,0,0
46295,11,0,1,0,0,0,0
46297,2,0,1,0,0,0,0
46298,2,0,1,0,0,0,0
46299,2,0,1,0,0,0,0
46300,2,0,1,0,0,0,0
46307,4,0,1,0,0,0,0
46314,4,0,1,0,0,0,0
46315,4,0,1,0,0,0,0
46323,2,0,1,0,0,0,0
46326,1,0,0,0,0,1,0
46328,1,0,0,0,0,1,0
46340,16,0,1,0,0,0,0
46341,16,0,1,0,0,0,0
46342,16,0,1,0,0,0,0
46344,8,0,1,0,0,0,0
46345,8,0,1,0,0,0,0
46346,8,0,1,0,0,0,0
46347,8,0,1,0,0,0,0
46348,11,0,1,0,0,0,0
46349,11,0,1,0,0,0,0
46350,11,0,1,0,0,0,0
46351,11,0,1,0,0,0,0
46352,10,0,1,0,0,0,0
46355,12,0,1,0,0,0,0
46356,12,0,1,0,0,0,0
46357,4,0,1,0,0,0,0
46358,4,0,1,0,0,0,0
46359,4,0,1,0,0,0,0
46361,11,0,1,0,0,0,0
46362,11,0,1,0,0,0,0
46363,11,0,1,0,0,0,0
46364,11,0,1,0,0,0,0
46365,2,0,1,0,0,0,0
46373,4,0,1,0,0,0,0
46375,7,0,1,0,0,0,0
46376,7,0,1,0,0,0,0
46378,2,0,1,0,0,0,0
46379,2,0,1,0,0,0,0
46383,3,0,1,0,0,0,0
46387,2,0,1,0,0,0,0
46388,5,0,1,0,0,0,0
46389,5,0,1,0,0,0,0
46390,3,0,1,0,0,0,0
46399,2,0,1,0,0,0,0
46405,2,0,1,0,0,0,0
46406,26,0,1,0,0,0.04,0
46407,6,0,1,0,0,0.17,0
46408,5,0.2,0.2,0,0.6,0.2,0
46409,4,0.5,0.75,0.25,1,0,0.25
46410,4,0.5,0.25,0,0.75,0.25,0
46411,6,0.17,0.83,0.17,0.67,0.17,0.17
46412,6,0.33,0.5,0.17,0.83,0.17,0.33
46413,6,0.33,0.17,0,0.67,0,0.33
46414,6,0.33,0.5,0.17,0.83,0.17,0.33
46415,4,0,1,0,0,0,0
46417,23,0,0.96,0,0,0.04,0
46418,10,0,1,0,0,0,0
46419,4,0,0.75,0,0,0.25,0
46421,2,0,1,0,0,0,0
46422,3,0,1,0,0,0,0
46423,23,0,1,0,0,0,0
46424,8,0,1,0,0,0,0
46425,8,0,1,0,0,0,0
46427,6,0,1,0,0,0,0
46428,7,0,1,0,0,0.14,0
46429,6,0,1,0,0,0,0
46430,6,0,1,0,0,0.17,0
46452,2,0,1,0,0,0,0
46453,2,0,1,0,0,0,0
46454,1,0,1,0,0,0,0
46455,1,1,0,0,0,0,0
46496,3,1,0,0.33,0,0,0.33
46497,10,1,0,0,0,0,0
46498,6,1,0,0,0,0,0
46499,6,1,0,0,0,0,0
46500,6,1,0,0,0,0,0
46501,2,1,0,0.5,0,0,0.5
46502,2,1,0,0,0,0,0
46503,2,1,0,0,0,0,0
46504,4,1,0,0,0,0,0
46505,4,1,0,0,0,0,0
46506,4,1,0,0,0,0,0
46507,4,1,0,0,0,0,0
46508,4,1,0,0,0,0,0
46509,4,1,0,0,0,0,0
46533,6,0,1,0,0,0,0
46547,1,0,1,0,0,0,0
46548,1,0,1,0,0,0,0
46549,1,0,1,0,0,0,0
46562,3,0,0,0,0,1,0
46563,1,0,1,0,0,0,0
46566,3,0,0,0,0,1,0
46568,1,0,1,0,0,0,0
46574,1,1,0,0,1,0,0
46575,1,1,0,0,1,0,0
46576,6,0,1,0,0,0,0
46577,3,0.67,0.67,0.67,0.67,0.33,0.67
46578,3,0.67,0.67,0.67,0.67,0.33,0.67
46579,6,0,1,0,0,0,0
46580,2,1,1,1,1,0.5,1
46581,2,1,0,1,1,0.5,1
46584,6,0,1,0,0,0,0
46585,4,0,1,0,0,0,0
46586,2,0,1,0,0,0,0
46587,2,0,1,0,0,0,0
46588,3,0,1,0,0,0,0
46589,4,0,1,0,0,0,0
46592,3,0,1,0,0,0,0
46593,3,0,1,0,0,0,0
46594,3,0,1,0,0,0,0
46595,3,0,1,0,0,0,0
46612,1,0,0,0,1,0,0
46613,1,0,0,0,1,0,0
46620,2,0,0,0,1,0,0
46629,2,0,0,0,0,0,1
46630,2,0,0,0,0,0,1
46631,1,0,0,0,0,0,1
46632,3,0,0,0,0,0,1
46633,2,0,0,0,1,0,0
46634,2,0,0,0,1,0,0
46635,2,0,0,0,1,0,0
46636,2,0,0,0,1,0,0
46637,2,0.5,0,0,1,0,0
46638,2,0,0,0,1,0,0
46639,2,0.5,0,0,1,0,0
46640,2,0,0,0,1,0,0
46664,1,0,1,0,0,0,0
46665,1,0,1,0,0,0,0
46669,2,0,1,0,0,0,0
46702,1,0,1,0,0,0,0
46786,6,0.83,0,0.5,1,0,0
46787,6,0.83,0,0.5,1,0,0
46788,6,0.83,0,0.5,1,0,0
46789,3,1,0,1,1,0,0
46790,3,1,0,1,1,0,0
46791,3,1,0,1,1,0,0
46792,3,1,0,0,1,0,0
46793,3,1,0,0,1,0,0
46794,3,0,0,0,1,0,0
46870,1,0,1,0,0,0,0
46881,4,0,1,0,0,0,0
46888,9,0,1,0,0,0,0
46889,9,0,1,0,0,0,0
46896,1,1,0,0,1,0,1
46897,1,1,0,0,1,0,1
46906,11,0,1,0,0,0,0
46911,12,0,1,0,0,0,0
46913,3,0,1,0,0,0,0
46916,15,0.07,1,0.07,0.07,0,0
46917,18,0.06,1,0.06,0.06,0,0
46918,5,0,1,0,0,0,0
46921,2,0,1,0,0,0,0
46923,2,0,1,0,0,0,0
46924,11,0,1,0,0,0,0
46928,14,0,1,0,0,0,0
46939,17,0,1,0,0,0,0
46943,15,0,1,0,0,0,0
46944,14,0,1,0,0,0,0
46945,21,0,1,0,0,0,0
46946,21,0,1,0,0,0,0
46948,15,0,1,0,0,0,0
46949,15,0,1,0,0,0,0
46950,19,0,1,0,0,0,0
46951,3,0,0,0,1,0,0
46952,16,0,1,0,0.06,0,0
46953,3,0,0,0,1,0,0
46954,17,0,0.82,0,0.18,0,0
46955,4,0,1,0,0,0,0
46956,4,0,1,0,0,0,0
46957,4,0,1,0,0,0,0
46958,1,0,0,0,1,0,0
46959,5,0,0.4,0,0.6,0,0
46960,15,0,1,0,0.07,0,0
46961,1,0,1,0,0,0,0
46964,16,0,1,0,0,0,0
46965,11,0,1,0,0,0,0
46969,1,0,0,0,1,0,0
46971,18,0,1,0,0,0,0
46972,7,0,1,0,0,0,0
46977,4,0,1,0,0,0,0
46978,4,0,1,0,0,0,0
46979,22,0,1,0,0,0,0
46980,21,0,1,0,0,0,0
46981,2,0,1,0,0,0,0
46982,1,0,1,0,0,0,0
46983,1,0,1,0,0,0,0
46985,3,0,1,0,0,0,0
46986,3,0,1,0,0,0,0
47005,3,1,0,0,0,0,0
47006,3,1,0,0,0,0,0
47007,3,1,0,0,0,0,0
47008,3,1,0,0,0,0,0
47009,3,1,0,0,0,0,0
47010,3,1,0,0,0,0,0
47018,2,0,1,0,0,0,0
47019,2,0,1,0,0,0,0
47020,2,0,1,0,0,0,0
47021,2,0,1,0,0,0,0
47077,3,0,1,0,0,0,0
47087,3,0,1,0,0,0,0
47089,8,0,1,0,0,0,0
47090,14,0,1,0,0,0,0
47094,12,0,1,0,0,0,0
47096,1,0,1,0,0,0,0
47099,6,0,1,0,0,0,0
47100,6,0,1,0,0,0,0
47106,1,1,0,0,1,0,0
47107,1,1,0,0,1,0,0
47113,2,0,0,0,1,0,0
47114,2,0,0,0,1,0,0
47116,2,0,0,0,1,0,0
47117,2,0,0,0,1,0,0
47127,1,0,1,0,0,0,0
47130,23,0,1,0,0,0,0
47131,4,0,1,0,0,0,0
47132,4,0,1,0,0,0,0
47134,16,0,1,0,0,0,0
47139,8,0,1,0,0,0,0
47157,18,0,1,0,0,0,0
47158,2,0,1,0,0,0,0
47162,5,0,1,0,0,0,0
47163,5,0,1,0,0,0,0
47164,6,0,1,0,0,0,0
47166,8,0,1,0,0,0,0
47168,21,0,1,0,0,0,0
47169,21,0,1,0,0,0,0
47180,21,0,1,0,0,0,0
47181,15,0,1,0,0,0,0
47182,15,0,1,0,0,0,0
47184,5,0,1,0,0,0,0
47185,5,0,1,0,0,0,0
47189,4,0,1,0,0,0,0
47190,4,0,1,0,0,0,0
47191,4,0,1,0,0,0,0
47192,4,0,1,0,0,0,0
47193,14,0,1,0,0,0,0
47194,14,0,1,0,0,0,0
47195,16,0,1,0,0,0,0
47196,16,0,1,0,0,0,0
47205,1,0,1,0,0,0,0
47211,17,0,1,0,0,0,0
47212,17,0,1,0,0,0,0
47215,12,0,1,0,0,0,0
47216,12,0,1,0,0,0,0
47221,4,0,1,0,0,0,0
47222,4,0,1,0,0,0,0
47223,4,0,1,0,0,0,0
47224,4,0,1,0,0,0,0
47227,1,0,0,0,0,1,0
47231,16,0,1,0,0,0,0
47232,16,0,1,0,0,0,0
47233,12,0,1,0,0,0,0
47234,12,0,1,0,0,0,0
47235,12,0,1,0,0,0,0
47236,4,0,1,0,0,0,0
47237,5,0,1,0,0,0,0
47239,9,0,1,0,0,0,0
47240,9,0,1,0,0,0,0
47243,1,0,0,0,0,1,0
47263,9,0,1,0,0,0,0
47264,9,0,1,0,0,0,0
47271,15,0,1,0,0,0,0
47273,4,0,1,0,0,0,0
47274,4,0,1,0,0,0,0
47279,10,0,1,0,0,0,0
47280,10,0,1,0,0,0,0
47281,26,0,1,0,0,0,0
47282,23,0,1,0,0,0,0
47283,25,0,1,0,0,0,0
47284,2,0,1,0,0,0,0
47285,4,0,1,0,0,0,0
47286,4,0,1,0,0,0,0
47287,1,0,0,0,1,1,0
47297,8,0,0.88,0.13,0.13,0.13,0
47298,1,0,0,1,1,1,0
47302,8,0,0.75,0.25,0.25,0.25,0
47303,6,0,1,0,0,0,0
47304,8,0,1,0,0,0,0
47305,8,0,1,0,0,0,0
47306,1,0,0,0,1,1,0
47317,30,0,1,0,0,0,0
47318,30,0,1,0,0,0,0
47321,8,0,1,0,0,0,0
47322,8,0,1,0,0,0,0
47330,15,0,1,0,0,0,0
47331,15,0,1,0,0,0,0
47334,1,0,0,0,1,0,0
47342,4,0,1,0,0,0,0
47343,4,0,1,0,0,0,0
47354,6,0,1,0,0,0,0
47366,2,0,1,0,0,0,0
47367,1,0,1,0,0,0,0
47368,1,0,1,0,0,0,0
47369,1,0,1,0,0,0,0
47370,1,0,0,0,1,1,0
47374,1,0,0,0,1,1,0
47378,8,0,0.88,0,0.13,0,0
47379,7,0,1,0,0,0,0
47386,45,0,1,0,0,0,0
47387,45,0,1,0,0,0,0
47388,45,0,1,0,0,0,0
47390,19,0,1,0,0,0,0
47391,21,0,1,0,0,0,0
47392,21,0,1,0,0,0,0
47393,23,0,0.09,0,0.91,0,0
47394,26,0.35,0.27,0,0.81,0,0
47395,24,0.38,0.21,0,0.88,0,0
47396,21,0.43,0,0,1,0.14,0
47397,22,0.41,0.05,0,0.95,0.14,0
47398,41,0.22,0.8,0.12,0.66,0.07,0.12
47399,38,0.37,0.79,0.13,0.71,0.08,0.13
47400,38,0.37,0.79,0.13,0.71,0.08,0.13
47401,37,0.38,0.78,0.14,0.73,0.08,0.14
47402,27,0.52,0,0.19,1,0,0.19
47403,34,0.41,0.47,0,0.79,0,0
