change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
43347,152,2,0.01
43358,152,2,0.01
43359,152,2,0.01
43363,152,1,0.01
43364,152,1,0.01
43366,152,2,0.01
43369,152,9,0.06
43377,152,8,0.05
43378,152,4,0.03
43383,152,9,0.06
43385,152,13,0.09
43386,152,2,0.01
43389,152,1,0.01
43391,152,7,0.05
43392,152,7,0.05
43395,152,1,0.01
43396,152,1,0.01
43407,152,13,0.09
43408,152,13,0.09
43415,152,14,0.09
43417,152,1,0.01
43425,152,9,0.06
43434,152,7,0.05
43436,152,2,0.01
43437,152,2,0.01
43440,152,1,0.01
43442,227,2,0.01
43480,227,5,0.02
43490,227,7,0.03
43494,227,2,0.01
43495,227,9,0.04
43496,227,2,0.01
43497,227,9,0.04
43500,227,1,0.00
43506,227,7,0.03
43507,227,7,0.03
43509,227,7,0.03
43511,227,7,0.03
43513,227,8,0.04
43514,227,8,0.04
43516,227,2,0.01
43528,227,1,0.00
43529,227,9,0.04
43533,227,6,0.03
43534,227,2,0.01
43535,227,2,0.01
43540,227,7,0.03
43541,227,6,0.03
43552,227,4,0.02
43553,227,4,0.02
43554,227,4,0.02
43555,227,7,0.03
43557,227,8,0.04
43561,227,7,0.03
43565,227,1,0.00
43566,227,1,0.00
43567,227,1,0.00
43568,227,1,0.00
43574,227,3,0.01
43579,227,14,0.06
43584,227,1,0.00
43600,227,1,0.00
43601,227,15,0.07
43602,227,15,0.07
43605,227,7,0.03
43606,227,7,0.03
43608,227,1,0.00
43614,227,6,0.03
43623,227,7,0.03
43624,227,7,0.03
43627,227,3,0.01
43628,227,15,0.07
43629,227,2,0.01
43630,227,2,0.01
43631,227,13,0.06
43632,227,2,0.01
43633,227,2,0.01
43635,227,14,0.06
43636,227,14,0.06
43637,227,5,0.02
43638,227,5,0.02
43641,227,1,0.00
43642,227,1,0.00
43649,227,2,0.01
43650,227,2,0.01
43651,227,2,0.01
43653,227,1,0.00
43657,227,9,0.04
43658,227,9,0.04
43681,150,2,0.01
43682,150,1,0.01
43686,150,1,0.01
43690,150,5,0.03
43691,150,5,0.03
43692,150,5,0.03
43693,150,3,0.02
43694,150,7,0.05
43702,150,11,0.07
43703,150,2,0.01
43704,150,2,0.01
43705,150,3,0.02
43706,150,3,0.02
43707,150,2,0.01
43708,150,2,0.01
43709,150,2,0.01
43713,150,11,0.07
43714,150,11,0.07
43716,150,1,0.01
43717,150,6,0.04
43718,150,18,0.12
43720,150,7,0.05
43721,150,11,0.07
43722,150,11,0.07
43723,150,7,0.05
43725,150,9,0.06
43726,150,13,0.09
43727,150,14,0.09
43732,150,2,0.01
43734,150,3,0.02
43735,150,1,0.01
43736,150,2,0.01
43741,150,2,0.01
43749,150,2,0.01
43750,150,2,0.01
43751,150,3,0.02
43753,150,13,0.09
43754,150,5,0.03
43755,150,5,0.03
43756,150,15,0.10
43757,150,15,0.10
43758,150,5,0.03
43768,150,3,0.02
43769,150,6,0.04
43770,150,6,0.04
43771,150,2,0.01
43772,150,2,0.01
43773,150,5,0.03
43774,150,5,0.03
43775,150,6,0.04
43776,150,6,0.04
43777,150,5,0.03
43778,150,3,0.02
43779,150,3,0.02
43784,150,2,0.01
43785,150,2,0.01
43786,150,2,0.01
43791,150,5,0.03
43792,150,1,0.01
43793,150,1,0.01
43794,150,1,0.01
43795,150,1,0.01
43796,150,1,0.01
43801,150,5,0.03
43808,150,3,0.02
43809,150,3,0.02
43810,150,4,0.03
43811,150,1,0.01
43816,150,1,0.01
43818,150,1,0.01
43894,284,1,0.00
43896,284,1,0.00
43898,284,1,0.00
43900,284,1,0.00
43912,284,1,0.00
43914,284,1,0.00
44021,284,1,0.00
44023,284,1,0.00
44070,284,1,0.00
44071,284,1,0.00
44092,284,1,0.00
44112,1330,17,0.01
44113,1330,17,0.01
44121,1330,3,0.00
44145,1330,9,0.01
44146,1330,8,0.01
44147,1330,9,0.01
44148,1330,8,0.01
44155,1330,4,0.00
44163,1330,14,0.01
44164,1330,14,0.01
44169,1330,25,0.02
44177,1330,1,0.00
44178,1330,1,0.00
44179,1330,4,0.00
44180,1330,104,0.08
44181,1330,25,0.02
44182,1330,10,0.01
44183,1330,10,0.01
44184,1330,10,0.01
44185,1330,10,0.01
44186,1330,10,0.01
44187,1330,10,0.01
44188,1330,10,0.01
44189,1330,10,0.01
44190,1330,10,0.01
44193,1330,10,0.01
44194,1330,10,0.01
44195,1330,6,0.00
44196,1330,6,0.00
44203,1330,70,0.05
44204,1330,70,0.05
44205,1330,30,0.02
44206,1330,30,0.02
44207,1330,24,0.02
44208,1330,24,0.02
44209,1330,24,0.02
44210,1330,19,0.01
44238,1330,3,0.00
44239,1330,3,0.00
44240,1330,25,0.02
44244,1330,69,0.05
44245,1330,69,0.05
44246,1330,6,0.00
44247,1330,6,0.00
44248,1330,6,0.00
44249,1330,6,0.00
44250,1330,10,0.01
44256,1330,5,0.00
44257,1330,5,0.00
44265,1330,15,0.01
44266,1330,72,0.05
44290,1330,63,0.05
44291,1330,63,0.05
44292,1330,63,0.05
44301,1330,72,0.05
44302,1330,72,0.05
44306,1330,4,0.00
44307,1330,4,0.00
44327,1330,36,0.03
44328,1330,36,0.03
44331,1330,1,0.00
44333,1330,1,0.00
44359,1330,1,0.00
44360,1330,1,0.00
44361,1330,2,0.00
44380,1330,2,0.00
44381,1330,2,0.00
44382,1330,4,0.00
44383,1330,4,0.00
44393,1330,18,0.01
44403,1330,2,0.00
44404,1330,2,0.00
44416,1330,10,0.01
44419,1330,4,0.00
44420,1330,4,0.00
44421,1330,4,0.00
44422,1330,6,0.00
44423,1330,3,0.00
44424,1330,3,0.00
44430,1330,1,0.00
44434,1330,8,0.01
44435,1330,8,0.01
44436,1330,8,0.01
44442,1330,18,0.01
44443,1330,18,0.01
44444,1330,30,0.02
44445,1330,27,0.02
44446,1330,1,0.00
44448,1330,26,0.02
44449,1330,25,0.02
44450,1330,1,0.00
44465,1330,7,0.01
44466,1330,7,0.01
44467,1330,68,0.05
44468,1330,2,0.00
44469,1330,2,0.00
44474,1330,1,0.00
44475,1330,25,0.02
44476,1330,26,0.02
44486,1330,31,0.02
44487,1330,31,0.02
44488,1330,8,0.01
44492,1330,1,0.00
44494,1330,2,0.00
44497,1330,4,0.00
44498,1330,4,0.00
44499,1330,4,0.00
44500,1330,6,0.00
44501,1330,3,0.00
44502,1330,3,0.00
44508,1330,1,0.00
44521,1330,4,0.00
44522,1330,1,0.00
44523,1330,1,0.00
44525,1330,4,0.00
44526,1330,3,0.00
44527,1330,1,0.00
44529,1330,18,0.01
44533,1330,45,0.03
44534,1330,98,0.07
44537,1330,61,0.05
44540,1330,26,0.02
44541,1330,13,0.01
44572,1330,14,0.01
44575,1330,60,0.05
44576,1330,60,0.05
44583,1330,5,0.00
44584,1330,5,0.00
44598,1330,7,0.01
44599,1330,7,0.01
44600,1330,2,0.00
44601,1330,2,0.00
44606,1330,14,0.01
44610,1330,1,0.00
44626,1330,64,0.05
44627,1330,64,0.05
44628,1330,2,0.00
44629,1330,1,0.00
44630,1330,1,0.00
44631,1330,1,0.00
44632,1330,1,0.00
44636,1330,1,0.00
44659,1330,8,0.01
44660,1330,8,0.01
44666,1330,42,0.03
44668,1330,1,0.00
44680,1330,30,0.02
44687,1330,4,0.00
44688,1330,4,0.00
44689,1330,4,0.00
44690,1330,4,0.00
44691,1330,12,0.01
44703,1330,21,0.02
44704,1330,19,0.01
44705,1330,19,0.01
44706,1330,13,0.01
44707,1330,13,0.01
44711,1330,26,0.02
44712,1330,25,0.02
44719,1330,1,0.00
44723,1330,7,0.01
44724,1330,7,0.01
44725,1330,7,0.01
44726,1330,7,0.01
44727,1330,7,0.01
44728,1330,7,0.01
44729,1330,7,0.01
44743,1330,12,0.01
44744,1330,12,0.01
44745,1330,57,0.04
44749,1330,118,0.09
44750,1330,118,0.09
44753,1330,53,0.04
44754,1330,53,0.04
44755,1330,44,0.03
44756,1330,44,0.03
44761,1330,35,0.03
44775,1330,18,0.01
44776,1330,18,0.01
44777,1330,18,0.01
44778,1330,18,0.01
44779,1330,31,0.02
44780,1330,31,0.02
44790,1330,1,0.00
44793,1330,56,0.04
44801,1330,86,0.06
44802,1330,18,0.01
44803,1330,18,0.01
44804,1330,15,0.01
44805,1330,16,0.01
44806,1330,15,0.01
44807,1330,15,0.01
44809,1330,40,0.03
44810,1330,87,0.07
44811,1330,26,0.02
44812,1330,26,0.02
44813,1330,26,0.02
44814,1330,10,0.01
44815,1330,10,0.01
44816,1330,25,0.02
44817,1330,15,0.01
44827,1330,5,0.00
44828,1330,5,0.00
44829,1330,5,0.00
44830,1330,5,0.00
44831,1330,5,0.00
44832,1330,70,0.05
44844,1330,1,0.00
44846,1330,1,0.00
44850,1330,90,0.07
44851,1330,90,0.07
44856,1330,51,0.04
44857,1330,51,0.04
44858,1330,95,0.07
44859,1330,95,0.07
44860,1330,81,0.06
44861,1330,81,0.06
44864,1330,41,0.03
44865,1330,41,0.03
44866,1330,41,0.03
44867,1330,41,0.03
44868,1330,12,0.01
44869,1330,12,0.01
44892,1330,2,0.00
