change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
43749,168,11,0.07
43756,168,1,0.01
43757,168,1,0.01
43774,168,4,0.02
43796,168,3,0.02
43804,168,3,0.02
43805,168,3,0.02
43806,168,1,0.01
43808,168,2,0.01
43809,168,4,0.02
43810,168,8,0.05
43811,168,6,0.04
43812,168,2,0.01
43813,168,3,0.02
43814,168,3,0.02
43815,168,2,0.01
43816,168,2,0.01
43817,168,4,0.02
43818,168,4,0.02
43825,168,13,0.08
43832,202,3,0.01
43833,202,6,0.03
43834,202,6,0.03
43837,202,1,0.00
43841,202,5,0.02
43842,202,3,0.01
43848,202,5,0.02
43849,202,5,0.02
43867,202,2,0.01
43869,202,6,0.03
43870,202,4,0.02
43871,202,6,0.03
43879,202,2,0.01
43887,202,2,0.01
43898,202,2,0.01
43904,202,3,0.01
43905,202,6,0.03
43906,202,6,0.03
43933,202,3,0.01
43934,202,2,0.01
43935,202,2,0.01
43936,202,3,0.01
43940,202,1,0.00
43944,202,3,0.01
43946,202,2,0.01
43947,202,2,0.01
43954,202,2,0.01
43955,202,2,0.01
43956,202,1,0.00
43959,202,5,0.02
43960,202,5,0.02
43965,202,1,0.00
43966,202,3,0.01
43967,202,1,0.00
43968,202,6,0.03
43970,202,1,0.00
43972,202,2,0.01
43973,202,2,0.01
43976,202,7,0.03
44020,202,1,0.00
44023,202,1,0.00
44037,33,1,0.03
44055,33,2,0.06
44056,33,3,0.09
44060,33,2,0.06
44071,11,3,0.27
44072,11,3,0.27
44073,11,3,0.27
44075,11,3,0.27
44076,11,3,0.27
44077,11,3,0.27
44085,123,4,0.03
44086,123,4,0.03
44087,123,4,0.03
44088,123,4,0.03
44099,123,1,0.01
44102,123,1,0.01
44115,123,1,0.01
44124,123,2,0.02
44125,123,1,0.01
44134,123,1,0.01
44138,123,1,0.01
44140,123,1,0.01
44144,123,1,0.01
44146,123,4,0.03
44147,123,4,0.03
44148,123,4,0.03
44149,123,4,0.03
44151,123,1,0.01
44152,123,1,0.01
44188,123,1,0.01
44198,123,1,0.01
44224,10,4,0.40
44225,10,4,0.40
44227,10,4,0.40
44228,10,4,0.40
