"change_id","conqat","deckard","iclones","nicad5","simcad","simian"
"42971",,"42953, 42962, 42963",,,,
"42972",,"42953, 42962, 42963",,,,
"42975",,"42960, 42961",,,,
"42981",,"42992, 42993, 42994, 42995",,,,
"42992",,"42981",,,,
"42993",,"42981",,,,
"42994",,"42981",,,,
"42995",,"42981",,,,
"42996",,,"43001, 43002, 43003, 43004, 43005","43001, 43002, 43003, 43004, 43005","43001, 43002, 43003, 43004, 43005",
"42997","43002, 43003, 43004, 43005",,"43001, 43002, 43003, 43004, 43005","43001, 43002, 43003, 43004, 43005","43001, 43002, 43003, 43004, 43005","43002, 43003, 43004, 43005"
"42998","43002, 43003, 43004, 43005",,"43001, 43002, 43003, 43004, 43005","43001, 43002, 43003, 43004, 43005","43001, 43002, 43003, 43004, 43005","43002, 43003, 43004, 43005"
"42999","43002, 43003, 43004, 43005",,"43001, 43002, 43003, 43004, 43005","43001, 43002, 43003, 43004, 43005","43001, 43002, 43003, 43004, 43005","43002, 43003, 43004, 43005"
"43000","43002, 43003, 43004, 43005",,"43001, 43002, 43003, 43004, 43005","43001, 43002, 43003, 43004, 43005","43001, 43002, 43003, 43004, 43005","43002, 43003, 43004, 43005"
"43001",,,"42996, 42997, 42998, 42999, 43000","42996, 42997, 42998, 42999, 43000","42996, 42997, 42998, 42999, 43000",
"43002","42997, 42998, 42999, 43000",,"42996, 42997, 42998, 42999, 43000","42996, 42997, 42998, 42999, 43000","42996, 42997, 42998, 42999, 43000","42997, 42998, 42999, 43000"
"43003","42997, 42998, 42999, 43000",,"42996, 42997, 42998, 42999, 43000","42996, 42997, 42998, 42999, 43000","42996, 42997, 42998, 42999, 43000","42997, 42998, 42999, 43000"
"43004","42997, 42998, 42999, 43000",,"42996, 42997, 42998, 42999, 43000","42996, 42997, 42998, 42999, 43000","42996, 42997, 42998, 42999, 43000","42997, 42998, 42999, 43000"
"43005","42997, 42998, 42999, 43000",,"42996, 42997, 42998, 42999, 43000","42996, 42997, 42998, 42999, 43000","42996, 42997, 42998, 42999, 43000","42997, 42998, 42999, 43000"
"43022","43024, 43025","43024","43024, 43025","43024, 43025","43024, 43025","43024, 43025"
"43023","43024, 43025",,"43024, 43025","43024, 43025","43024, 43025","43024, 43025"
"43024","43022, 43023","43022","43022, 43023","43022, 43023","43022, 43023","43022, 43023"
"43025","43022, 43023",,"43022, 43023","43022, 43023","43022, 43023","43022, 43023"
"43043",,"43055, 43057",,,,
"43053",,"43057",,,,
"43055",,"43043, 43063",,,,
"43057",,"43043, 43053",,,,
"43063",,"43055",,,,
"43066",,"43067, 43068, 43069, 43147",,,,
"43067",,"43147, 43151, 43152",,,,
"43068",,"43147, 43151, 43152",,,,
"43069",,"43066, 43067, 43068, 43147, 43151, 43152",,,,
"43087",,"43090","43090",,,
"43090",,"43087","43087",,,
"43095",,"43131, 43132, 43133, 43134, 43135, 43145",,,,
"43099",,"43108, 43149, 43153, 43154, 43170, 43171",,,,
"43100",,"43149, 43156, 43157, 43158",,,,
"43102",,,,,"43170, 43171, 43172, 43173",
"43108",,"43099, 43141, 43147, 43149, 43153, 43154, 43170, 43171",,,,
"43122",,"43125, 43126, 43127, 43134, 43135, 43136",,,,
"43123",,"43125, 43126, 43127, 43134, 43135, 43136",,,"43125, 43126",
"43124",,"43125, 43126, 43127, 43134, 43135, 43136",,,"43125, 43126",
"43125",,"43134, 43135, 43136",,,,
"43126",,"43122, 43123, 43124, 43125, 43134, 43135, 43136",,,"43123, 43124, 43125",
"43127",,"43122, 43123, 43124, 43125, 43134, 43135, 43136",,,,
"43128",,,,,"43130, 43131, 43132",
"43130",,,,,"43128",
"43131",,"43095",,,"43128",
"43132",,"43095",,,"43128",
"43133",,"43095",,,,
"43134",,"43095, 43122, 43123, 43124, 43125, 43126, 43127",,,,
"43135",,"43095, 43122, 43123, 43124, 43125, 43126, 43127",,,,
"43136",,"43122, 43123, 43124, 43125, 43126, 43127",,,,
"43141",,"43108, 43153, 43154",,,,
"43142",,"43147",,,,
"43145",,"43095",,,,
