"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"52027",,,,,,,,,,,"52028",
"52029",,"52030","52030, 52031, 52032","52030, 52031, 52032","52030, 52031, 52032",,,,,,,
"52030",,"52029","52029, 52031, 52032","52029, 52031, 52032","52029, 52031, 52032",,,,,,,
"52031",,"52032","52029, 52030, 52032","52029, 52030, 52032","52029, 52030, 52032",,,,,,,
"52032",,"52031","52029, 52030, 52031","52029, 52030, 52031","52029, 52030, 52031",,,,,,,
"52033",,"52034","52034","52034, 52035, 52036","52034",,,,,,,
"52034",,"52033","52033","52033, 52035, 52036","52033",,,,,,,
"52035",,"52036","52036","52033, 52034, 52036","52036",,,,,,,
"52036",,"52035","52035","52033, 52034, 52035","52035",,,,,,,
"52045",,,"52046","52046",,,,,,,,
"52046",,,"52045","52045",,,,,,,,
"52056","52057",,,,,,,,,,,
"52064",,,,"52065, 52066, 52067, 52068, 52069, 52070",,,,,,,,
"52065",,,"52069, 52070","52064, 52066, 52067, 52068, 52069, 52070","52069, 52070","52069, 52070",,,,,"52069, 52070",
"52066",,,"52069, 52070","52064, 52065, 52067, 52068, 52069, 52070","52069, 52070","52069, 52070",,,,,"52069, 52070",
"52067",,,,"52064, 52065, 52066, 52068, 52069, 52070",,,,,,,,
"52068",,,,"52064, 52065, 52066, 52067, 52069, 52070",,,,,,,,
"52069",,,"52065, 52066","52064, 52065, 52066, 52067, 52068, 52070","52065, 52066","52065, 52066",,,,,"52065, 52066",
"52070",,,"52065, 52066","52064, 52065, 52066, 52067, 52068, 52069","52065, 52066","52065, 52066",,,,,"52065, 52066",
"52101",,"52103","52103, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134, 52141","52103, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134, 52139, 52141","52103, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134",,,,,,,
"52103",,"52101","52101, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134, 52141","52101, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134, 52139, 52141","52101, 52116, 52118, 52120, 52122, 52126, 52128, 52130, 52131, 52132, 52134",,,,,,,
"52104","52108, 52109",,,,,,,,,,,
"52105","52107, 52108, 52109, 52113, 52114","52107","52107, 52108, 52109, 52113, 52114","52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52107",,,"52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145",,"52107, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52107"
"52106","52108, 52109",,,,,,,,,,,
"52107","52105, 52108, 52109, 52113, 52114","52105","52105, 52108, 52109, 52113, 52114","52105, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52105, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52105",,,"52105, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145",,"52105, 52108, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52105"
"52108","52104, 52105, 52106, 52107, 52109, 52113, 52114","52109","52105, 52107, 52109, 52113, 52114","52105, 52107, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52105, 52107, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52109",,,"52105, 52107, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145",,"52105, 52107, 52109, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52109"
"52109","52104, 52105, 52106, 52107, 52108, 52113, 52114","52108","52105, 52107, 52108, 52113, 52114","52105, 52107, 52108, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52105, 52107, 52108, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52108",,,"52105, 52107, 52108, 52111, 52112, 52113, 52114, 52123, 52124, 52145",,"52105, 52107, 52108, 52111, 52112, 52113, 52114, 52123, 52124, 52145","52108"
"52110","52123, 52124",,,,,,,,,,,
