change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
42669,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42678,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42679,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42681,1,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
42699,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42707,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42714,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42725,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42731,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42739,2,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42749,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42750,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42751,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42757,3,0.67,0.67,0.67,0.00,0.00,0.00,0.67,0.67,0.00
42758,2,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00
42759,4,0.50,0.50,0.50,0.25,0.00,0.00,0.50,0.50,0.00
42760,2,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00
42765,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42769,3,0.67,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
42771,2,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42780,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42785,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42786,2,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
42787,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
42788,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
42791,2,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42792,4,0.00,0.50,0.00,0.75,0.00,0.00,0.00,0.00,0.00
42811,2,0.00,0.00,1.00,0.00,0.50,1.00,0.00,0.00,1.00
42812,2,0.50,0.50,1.00,0.50,0.00,1.00,0.50,0.50,1.00
42814,2,0.00,0.00,1.00,0.00,0.50,1.00,0.00,0.00,1.00
42815,2,0.50,0.50,1.00,0.50,0.00,1.00,0.50,0.50,1.00
42829,2,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
42830,2,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
42831,2,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
42832,2,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
42862,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
42891,3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
42892,3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
42893,3,0.00,0.33,1.00,0.00,0.00,0.00,0.33,0.33,0.00
42894,3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
42895,3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
42896,3,0.00,0.33,1.00,0.00,0.00,0.00,0.33,0.33,0.00
42943,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42944,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43005,6,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43006,6,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43007,5,0.80,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.60
43008,7,1.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.43
43011,6,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43012,6,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00
43013,5,0.80,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.60
43014,7,1.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.43
43036,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43037,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43051,2,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00
43055,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43061,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43063,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43066,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43067,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43068,2,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00
43096,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43097,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43129,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43153,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43189,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43190,8,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.63,0.00
43191,8,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.63,0.00
43192,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43193,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43194,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43195,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43208,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43209,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43210,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43211,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43212,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43221,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43222,4,0.00,0.25,0.00,0.75,0.00,0.00,0.00,0.00,0.00
43223,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43224,3,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43230,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43234,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43250,10,0.00,1.00,0.30,0.00,0.00,0.20,0.60,0.40,0.10
43251,10,0.00,1.00,0.00,0.00,0.00,0.20,0.60,0.40,0.00
43252,9,0.00,0.89,0.33,0.00,0.00,0.22,0.67,0.44,0.11
43253,9,0.00,0.89,0.00,0.11,0.00,0.22,0.67,0.44,0.00
