"change_id","ccfinder","cloneworks","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"47122",,,,"47121",,,,,
"47131",,,,"47147, 47148",,,,,
"47132",,,,"47131, 47147, 47148",,,,,
"47138",,"47144",,"47140, 47144",,,,,
"47140",,,,"47138, 47144",,,,,
"47144",,"47138",,"47138, 47140",,,,,
"47147",,,,"47131, 47132",,,,,
"47148",,,,"47131, 47132",,,,,
"47151",,,"47155, 47156, 47157, 47158",,,,,,"47155, 47156"
"47152","47156, 47157, 47158",,"47155, 47156, 47157, 47158",,,,,,"47155, 47156"
"47153","47156, 47157, 47158",,"47155, 47156, 47157, 47158",,,,,,
"47154","47156, 47157, 47158",,"47155, 47156, 47157, 47158",,,,,,"47158"
"47155",,,"47151, 47152, 47153, 47154",,,,,,"47151, 47152"
"47156","47152, 47153, 47154",,"47151, 47152, 47153, 47154",,,,,,"47151, 47152"
"47157","47152, 47153, 47154",,"47151, 47152, 47153, 47154",,,,,,
"47158","47152, 47153, 47154",,"47151, 47152, 47153, 47154",,,,,,"47154"
"47162",,,,,,,,,"47166"
"47166",,,,,,,,,"47162"
"47172",,"47176, 47178",,,,"47178, 47179, 47180",,,"47178"
"47173","47179, 47180",,,,,"47178, 47179, 47180",,,"47179, 47180"
"47174","47179, 47180","47180",,,,"47178, 47179, 47180",,"47180","47179, 47180"
"47176",,"47172, 47178",,,,,,,
"47178",,"47172, 47176",,,,"47172, 47173, 47174",,,"47172"
"47179","47173, 47174",,,,,"47172, 47173, 47174",,,"47173, 47174"
"47180","47173, 47174","47174",,,,"47172, 47173, 47174",,"47174","47173, 47174"
"47215",,,,,,,,,"47220, 47221"
"47216",,,,,,,,,"47220, 47221"
"47220",,,,,,,,,"47215, 47216"
"47221",,,,,,,,,"47215, 47216"
"47235",,"47245, 47262, 47263, 47269, 47300, 47309",,,,,,,
"47237","47238, 47239",,,"47332",,,,,
"47238","47237",,,,,,,,
"47239","47237",,,,,,,,
"47245",,"47235, 47262, 47263, 47269, 47300, 47309",,,,,,,
"47248",,"47250",,,,,,,
"47250",,"47248",,,,,,,
"47262","47300","47235, 47245, 47269, 47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308, 47309, 47328","47300",,,,,,"47300"
"47263","47300","47235, 47245, 47269, 47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308, 47309, 47328",,,,,,,
"47264","47301, 47302, 47303","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,"47301, 47302, 47303",,,
"47265","47301, 47302, 47303","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308","47301, 47302, 47303",,,"47301, 47302, 47303",,,"47301, 47302, 47303"
"47266","47301, 47302, 47303","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308","47301, 47302, 47303",,,"47301, 47302, 47303",,,"47301, 47302, 47303"
"47267","47301, 47302, 47303","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308","47301, 47302, 47303","47303",,"47301, 47302, 47303",,"47303","47301, 47302, 47303"
"47268","47301, 47302, 47303","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,"47303",,"47301, 47302, 47303",,"47303",
"47269",,"47235, 47245, 47262, 47263, 47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308, 47309, 47332, 47333",,,,,,,
"47270",,"47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,"47330, 47331",,,,,
"47271",,"47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308","47304","47330, 47331",,,,"47304, 47305, 47306, 47307",
"47272",,"47274, 47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47273",,"47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47274",,"47272, 47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47275","47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47276","47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47277","47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47278","47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47279","47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47280","47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47281","47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47282","47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47283","47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47284","47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47285","47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47286","47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47287","47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47288","47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47289","47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47290","47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47291","47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,,,"47304, 47305, 47306, 47307",
"47292","47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308",,,,"47307, 47308",,"47304, 47305, 47306, 47307",
"47293",,"47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308","47307, 47308",,,"47307, 47308",,"47304, 47305, 47306, 47307","47307, 47308"
"47294","47308","47300, 47301, 47302, 47303, 47304, 47305, 47306, 47307, 47308","47307, 47308","47308",,"47307, 47308",,,"47307, 47308"
"47300","47262, 47263","47235, 47245, 47262, 47263, 47264, 47265, 47266, 47267, 47268, 47269, 47270, 47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293, 47294, 47309, 47328, 47335","47262",,,,,,"47262"
"47301","47264, 47265, 47266, 47267, 47268","47262, 47263, 47264, 47265, 47266, 47267, 47268, 47269, 47270, 47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293, 47294","47265, 47266, 47267",,,"47264, 47265, 47266, 47267, 47268",,,"47265, 47266, 47267"
"47302","47264, 47265, 47266, 47267, 47268","47262, 47263, 47264, 47265, 47266, 47267, 47268, 47269, 47270, 47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293, 47294","47265, 47266, 47267",,,"47264, 47265, 47266, 47267, 47268",,,"47265, 47266, 47267"
"47303","47264, 47265, 47266, 47267, 47268","47262, 47263, 47264, 47265, 47266, 47267, 47268, 47269, 47270, 47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293, 47294","47265, 47266, 47267","47267, 47268",,"47264, 47265, 47266, 47267, 47268",,"47267, 47268","47265, 47266, 47267"
"47304",,"47262, 47263, 47264, 47265, 47266, 47267, 47268, 47269, 47270, 47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293, 47294","47271",,,,,"47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293",
"47305","47306","47262, 47263, 47264, 47265, 47266, 47267, 47268, 47269, 47270, 47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293, 47294",,,,,,"47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293",
"47306",,"47262, 47263, 47264, 47265, 47266, 47267, 47268, 47269, 47270, 47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293, 47294",,,,,,"47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293",
"47307",,"47262, 47263, 47264, 47265, 47266, 47267, 47268, 47269, 47270, 47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293, 47294","47293, 47294",,,"47292, 47293, 47294",,"47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293","47293, 47294"
"47308","47294","47262, 47263, 47264, 47265, 47266, 47267, 47268, 47269, 47270, 47271, 47272, 47273, 47274, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47285, 47286, 47287, 47288, 47289, 47290, 47291, 47292, 47293, 47294","47293, 47294","47294",,"47292, 47293, 47294",,,"47293, 47294"
"47309",,"47235, 47245, 47262, 47263, 47269, 47300, 47328, 47329, 47331, 47332, 47333, 47335",,,,,,,
"47328",,"47262, 47263, 47300, 47309",,,,,,,
"47329",,"47309, 47331","47331",,,,,,
"47330",,,,"47270, 47271",,,,,
"47331",,"47309, 47329","47329","47270, 47271",,,,,
"47332","47333, 47334, 47335","47269, 47309, 47333, 47334, 47335","47333, 47334, 47335","47237, 47333, 47369, 47372",,"47333, 47334, 47335","47333, 47334, 47335","47333, 47334, 47335","47333, 47334"
"47333","47332, 47334, 47335","47269, 47309, 47332, 47335, 47372","47332","47332, 47334, 47335, 47372",,"47332",,"47332","47332, 47335"
"47334","47332, 47333","47332","47332, 47333","47333",,"47332, 47333","47332, 47333","47332, 47333","47332, 47333"
"47335","47332, 47333, 47334","47300, 47309, 47332, 47333, 47372","47332, 47333","47333",,"47332, 47333","47332, 47333","47332, 47333","47333"
"47340","47341",,,,,,,,
"47345","47346",,,,,,,,
"47347",,,,,,,,"47345, 47346",
"47359",,,,"47362",,,,,
"47360",,,,"47362",,,,,
"47361",,,,"47362",,,,,
"47362",,,,"47359, 47360, 47361",,,,,
"47369",,,,"47332",,,,,
"47372",,"47333, 47335",,"47332, 47333",,,,,
"47374",,,,"47375, 47376, 47377, 47378",,,,,
"47375",,,,"47376, 47377, 47378",,,,,
"47376",,,,"47374, 47375",,,,,
"47377",,,,"47374, 47375, 47376",,,,,
"47378",,,,"47374, 47375, 47376",,,,,
"47409",,"47411, 47412, 47413",,,,,,,
"47410",,"47411, 47412, 47413",,,,,,,
"47411","47412, 47413","47409, 47410, 47412, 47413",,"47412, 47413",,,,,
"47412",,"47409, 47410, 47411, 47413",,"47411, 47413",,,,,
"47413","47411, 47412","47409, 47410, 47411, 47412",,"47411, 47412",,,,,
"47423",,,,,,"47424",,,
"47424",,,,,,"47423",,,
"47435",,,,,"47441","47441",,,"47441"
"47441",,,,,"47435","47435",,,"47435"
"47444",,,,,"47446, 47447",,,,
"47445",,,,,"47446, 47447",,,,
"47446",,,,,"47444, 47445",,,,
"47447",,,,,"47444, 47445",,,,
"47464",,,,,"47471, 47472",,,,
"47465",,,,,"47471, 47472",,,,
"47469",,,,,,,,,"47473, 47474, 47475, 47479, 47480"
"47470",,,,,,,,,"47473, 47474, 47475, 47479, 47480"
"47471",,,,,"47464, 47465",,,,
"47472",,,,,"47464, 47465",,,,
"47473",,,,,,,,,"47469, 47470, 47479, 47480"
"47474",,,,,,,,,"47469, 47470, 47479, 47480"
"47475",,,,,,,,,"47469, 47470, 47479, 47480"
"47479",,,,,,,,,"47469, 47470, 47473, 47474, 47475"
"47480",,,,,,,,,"47469, 47470, 47473, 47474, 47475"
"47491",,,,,"47495, 47496",,,,
"47492",,,,,"47495, 47496",,,,
"47494","47493",,,,,,,,
"47495",,,,,"47491, 47492",,,,
"47496",,,,,"47491, 47492",,,,
"47520",,,,,,"47521",,,
"47521",,,,,,"47520",,,
"47595",,,,"47622, 47623, 47624",,,,,
"47596",,,,"47607, 47608, 47609, 47650, 47651, 47654, 47659, 47787, 47788",,,,,
"47598",,"47601, 47602, 47603, 47726, 47755, 47817",,,,"47601, 47602, 47603","47601, 47602, 47603","47601, 47602, 47603",
"47599",,"47601, 47602, 47603, 47726, 47755, 47817","47602",,,"47601, 47602, 47603","47601, 47602, 47603","47601, 47602, 47603","47602"
"47600",,"47601, 47602, 47603, 47726, 47755, 47817",,,,"47601, 47602, 47603","47601, 47602, 47603","47601, 47602, 47603",
"47601",,"47598, 47599, 47600, 47726, 47755, 47817",,,,"47598, 47599, 47600","47598, 47599, 47600","47598, 47599, 47600",
"47602",,"47598, 47599, 47600, 47726, 47755, 47817","47599",,,"47598, 47599, 47600","47598, 47599, 47600","47598, 47599, 47600","47599"
"47603",,"47598, 47599, 47600, 47726, 47755, 47817",,"47633, 47701",,"47598, 47599, 47600","47598, 47599, 47600","47598, 47599, 47600",
"47604",,,,"47633, 47701",,,,,
"47605",,"47631, 47666, 47694, 47719, 47721, 47723, 47724, 47725, 47726, 47735, 47736, 47737, 47738, 47756, 47757, 47761, 47817, 47820, 47881",,,,,,,
"47607",,"48011, 48012",,"47596, 47608, 47609, 47787, 47788",,,,,
"47608",,"48011, 48012",,"47596, 47609, 47618, 47787, 47788, 47829",,,,,
"47609",,,,"47596, 47607, 47608, 47613, 47614, 47615, 47618, 47787, 47788, 47829, 47998",,,,,
"47612",,,"47618",,,,,,"47618"
"47613",,,,"47609, 47618, 47998",,,,,
"47614",,,,"47609, 47618, 47998",,,,,
"47615",,,,"47609, 47618, 47998",,,,,
"47618",,,"47612","47608, 47609, 47613, 47614, 47615, 47674, 47675, 47736, 47998",,,,,"47612"
"47619",,,,"47620, 47621, 47622",,,,,
"47621",,,,"47619, 47620",,,,,
"47622",,,,"47595, 47619, 47620",,,,,
"47623",,,,"47595",,,,,
"47624",,,,"47595, 47677",,,,,
"47625",,"47666, 47694, 47724, 47726, 47733, 47734, 47739, 47740, 47756, 47757, 47758, 47759, 47760, 47821, 47850, 47909, 48044",,"47677",,,,,
"47629",,,,"47642, 47643, 47650, 47674, 47677, 47784, 47785",,,,,
"47630",,,,"47642, 47643, 47650, 47674, 47677, 47784, 47785",,,,,
"47631",,"47605, 47666, 47676, 47682, 47719, 47721, 47723, 47724, 47725, 47726, 47735, 47736, 47739, 47740, 47755, 47756, 47757, 47758, 47761, 47817, 47820, 47881, 47909",,,,,,,
"47633",,"47666, 47719, 47721, 47723, 47724, 47725, 47726, 47756, 47757, 47759, 47760, 47817, 47818, 47869, 47870","47869","47603, 47604, 47701",,,,"47869",
"47642",,,,"47629, 47630, 47650, 47651, 47654, 47674, 47677, 47719, 47784, 47785",,,,,
"47643",,,,"47629, 47630, 47650, 47651, 47654, 47674, 47677, 47719, 47784, 47785",,,,,
"47647",,,,"47659, 47671, 47682, 47693, 47705, 47706, 47719, 47756, 47757, 47784, 47785, 47787, 47788, 47938",,,,,
"47650",,,,"47596, 47629, 47630, 47642, 47643, 47654, 47674, 47677, 47719, 47784, 47785, 47787, 47788",,,,,
"47651",,,,"47596, 47642, 47643, 47650, 47654, 47719, 47784, 47785, 47787, 47788",,,,,
"47654",,,,"47596, 47642, 47643, 47650, 47651, 47659, 47719, 47726, 47784, 47785",,,,,
"47659",,"47666, 47682, 47724, 47726, 47754, 47757, 47758, 47759, 47761, 47775, 47778, 47785, 47794, 47795, 47817, 47819, 47881, 47919, 47922",,"47596, 47647, 47654, 47682, 47705, 47706, 47719, 47756, 47757",,,,,
"47666",,"47605, 47625, 47631, 47633, 47659, 47676, 47682, 47704, 47705, 47706, 47707, 47719, 47721, 47723, 47724, 47725, 47726, 47733, 47734, 47735, 47736, 47737, 47738, 47739, 47740, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47817, 47818, 47819, 47820, 47821, 47867, 47868, 47869, 47878, 47881, 47909, 47919",,,,,,,
"47667","47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766",,"47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766",,,"47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766",,,"47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766"
"47668","47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766",,"47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766",,,"47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766",,,"47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766"
"47669","47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766",,"47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766",,,"47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766",,,"47689, 47690, 47691, 47727, 47728, 47729, 47764, 47765, 47766"
"47671",,,,"47647, 47693, 47719, 47784, 47785",,,,,
"47673",,,,"47693",,,,,
"47674",,,,"47618, 47629, 47630, 47642, 47643, 47650, 47675, 47677, 47736, 47784, 47785",,,,,
"47675",,,,"47618, 47674, 47736",,,,,
"47676",,"47631, 47666, 47682, 47692, 47694, 47704, 47726, 47735, 47736, 47739, 47740, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47785, 47817, 47818, 47819, 47820, 47821, 47860, 47878, 47881, 47909, 47939, 47998","47694",,,,,,
"47677",,,,"47624, 47625, 47629, 47630, 47642, 47643, 47650, 47674, 47784, 47785",,,,,
"47679",,,"47695",,,,,,
"47681",,,,"47682",,,,,
"47682",,"47631, 47659, 47666, 47676, 47694, 47704, 47724, 47726, 47735, 47736, 47739, 47740, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47775, 47785, 47809, 47817, 47818, 47819, 47820, 47821, 47838, 47860, 47878, 47881, 47909, 47919, 47922",,"47647, 47659, 47681, 47705, 47706, 47719, 47756, 47757",,,,,
"47683",,,,"48035, 48036, 48037",,,,,
"47684",,,,"47717, 47787, 47792, 47794, 47795, 47829",,,,,
"47685",,,,"47717, 47787, 47792, 47794, 47795, 47829",,,,,
"47689","47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766",,"47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766",,,"47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766",,,"47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766"
"47690","47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766",,"47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766",,,"47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766",,,"47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766"
"47691","47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766",,"47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766",,,"47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766",,,"47667, 47668, 47669, 47727, 47728, 47729, 47764, 47765, 47766"
"47692",,"47676, 47698, 47721, 47757",,,,,,,
"47693",,,,"47647, 47671, 47673, 47719, 47726, 47784, 47785",,,,,
"47694",,"47605, 47625, 47676, 47682, 47704, 47725, 47726, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47785, 47817, 47818, 47819, 47820, 47821, 47850, 47878, 47881, 47939, 47998","47676",,,,,,
"47695",,,"47679",,,,,,
"47697",,,,"47726, 47756, 47757, 48017",,,,,
"47698",,"47692, 47721, 47754, 47757",,"47726, 47756, 47757, 48017",,,,,
"47701",,,,"47603, 47604, 47633",,,,,
"47704",,"47666, 47676, 47682, 47694, 47705, 47706, 47707, 47719, 47721, 47723, 47724, 47725, 47726, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47785, 47817, 47818, 47819, 47820, 47821, 47878, 47892",,"47705, 47706, 47719, 47726, 47756, 47757, 47817",,,,,
"47705","47706, 47707","47666, 47704, 47706, 47707, 47719, 47721, 47723, 47724, 47725, 47726, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47817, 47818, 47819, 47820, 47821, 47878",,"47647, 47659, 47682, 47704, 47706, 47719, 47726, 47756, 47757, 47817, 47822, 47826, 47827, 47938, 48017, 48035, 48036, 48037",,,,,
"47706",,"47666, 47704, 47705, 47707, 47719, 47721, 47723, 47724, 47725, 47726, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47817, 47818, 47819, 47820, 47821, 47878",,"47647, 47659, 47682, 47704, 47705, 47719, 47726, 47756, 47757, 47817, 47822, 47826, 47827, 47938, 48017, 48035, 48036, 48037",,,,,
"47707","47705, 47706","47666, 47704, 47705, 47706, 47719, 47721, 47723, 47724, 47725, 47726, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47817, 47818, 47819, 47820, 47821, 47878",,,,,,,
"47708",,,,,,"47824",,,
"47717",,"47754, 47758, 47817, 47820",,"47684, 47685, 47787, 47792, 47794, 47795, 47829",,,,,
"47719",,"47605, 47631, 47633, 47666, 47704, 47705, 47706, 47707, 47721, 47723, 47724, 47725, 47726, 47748, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47817, 47818, 47819, 47820, 47821, 47869, 47878, 47892",,"47642, 47643, 47647, 47650, 47651, 47654, 47659, 47671, 47682, 47693, 47704, 47705, 47706, 47726, 47756, 47757, 47784, 47785, 47817, 47827, 48004, 48005, 48006",,"47757, 47758",,,
"47720",,,,,,"47757, 47758",,,
"47721","47722, 47723, 47724, 47725","47605, 47631, 47633, 47666, 47692, 47698, 47704, 47705, 47706, 47707, 47719, 47723, 47724, 47725, 47726, 47735, 47736, 47739, 47740, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47817, 47818, 47819, 47820, 47821, 47850, 47867, 47868, 47869, 47878, 47881, 47885, 47890, 47892",,"47722, 47723, 47724, 47725, 47726",,"47757, 47758",,,
"47722","47724, 47725",,,"47721, 47724, 47725, 47726",,"47757, 47758",,,
"47723","47724, 47725","47605, 47631, 47633, 47666, 47704, 47705, 47706, 47707, 47719, 47721, 47724, 47725, 47726, 47727, 47728, 47729, 47733, 47734, 47735, 47736, 47737, 47738, 47739, 47740, 47748, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47764, 47765, 47766, 47815, 47817, 47818, 47819, 47820, 47821, 47850, 47867, 47868, 47869, 47878, 47891",,"47721, 47724, 47725, 47726",,,,,
"47724","47721, 47722, 47723","47605, 47625, 47631, 47633, 47659, 47666, 47682, 47704, 47705, 47706, 47707, 47719, 47721, 47723, 47725, 47726, 47733, 47734, 47737, 47738, 47739, 47740, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47817, 47818, 47819, 47820, 47821, 47867, 47868, 47869, 47878, 47881, 47909, 47922",,"47721, 47722, 47723, 47725, 47726",,,,,
"47725","47721, 47722, 47723, 47724","47605, 47631, 47633, 47666, 47694, 47704, 47705, 47706, 47707, 47719, 47721, 47723, 47724, 47726, 47733, 47734, 47737, 47738, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47806, 47817, 47818, 47819, 47820, 47821, 47867, 47868, 47869, 47878, 47892",,"47721, 47722, 47723, 47724, 47726",,,,,
"47726",,"47598, 47599, 47600, 47601, 47602, 47603, 47605, 47625, 47631, 47633, 47659, 47666, 47676, 47682, 47694, 47704, 47705, 47706, 47707, 47719, 47721, 47723, 47724, 47725, 47733, 47734, 47735, 47736, 47737, 47738, 47739, 47740, 47748, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47815, 47817, 47818, 47819, 47820, 47821, 47850, 47878, 47881, 47885, 47887, 47888, 47889, 47890, 47891, 47892, 47909, 47922, 48008, 48009, 48023",,"47654, 47693, 47697, 47698, 47704, 47705, 47706, 47719, 47721, 47722, 47723, 47724, 47725, 47756, 47757, 47817, 47822, 47826, 47827, 48017, 48035, 48036, 48037, 48043",,,,,
"47727","47667, 47668, 47669, 47689, 47690, 47691, 47764, 47765, 47766","47723, 47764, 47765, 47766, 47819, 47881, 47919","47667, 47668, 47669, 47689, 47690, 47691, 47764, 47765, 47766",,,"47667, 47668, 47669, 47689, 47690, 47691, 47764, 47765, 47766","47764, 47765, 47766","47764, 47765, 47766","47667, 47668, 47669, 47689, 47690, 47691, 47764, 47765, 47766"
"47728","47667, 47668, 47669, 47689, 47690, 47691, 47764, 47765, 47766","47723, 47764, 47765, 47766, 47819, 47881, 47919","47667, 47668, 47669, 47689, 47690, 47691, 47764, 47765, 47766",,,"47667, 47668, 47669, 47689, 47690, 47691, 47764, 47765, 47766","47764, 47765, 47766","47764, 47765, 47766","47667, 47668, 47669, 47689, 47690, 47691, 47764, 47765, 47766"
