change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
55135,265,0.003773585,0.705660377,0.003773585,0.550943396,0,0.003773585,0,0.022641509,0
55150,10,0,0,0,1,0,0,0,0,0
55166,71,0,0,0,1,0,0,0,0,0
55167,71,0,0,0,1,0,0,0,0,0
55168,55,0,0,0,1,0,0,0,0,0
55169,5,0,0,0,1,0,0,0,0,0
55172,175,0,1,0,0,0,0,0,0,0
55173,14,0,0.928571429,0.071428571,0,0,0,0.142857143,0,0
55182,98,0,1,0,0,0,0,0,0,0
55184,66,0,1,0,0,0,0,0,0,0
55212,5,0,0,0,1,0,0,0,0,0
55213,5,0,0,0,1,0,0,0,0,0
55214,5,0,0,0,1,0,0,0,0,0
55215,5,0,0,0,1,0,0,0,0,0
55216,5,0,0,0,1,0,0,0,0,0
55219,198,0,1,0,0,0,0,0,0,0
55220,161,0,1,0,0,0,0,0,0,0
55226,88,0,0,0,1,0,0,0,0,0
55227,88,0,0,0,1,0,0,0,0,0
55228,88,0,0,0,1,0,0,0,0,0
55232,100,0,0.46,0,0.62,0,0,0,0,0
55233,181,0,0.762430939,0,0.342541436,0,0,0,0,0
55234,140,0,1,0,0,0,0,0,0,0
55236,134,0,0.962686567,0,0.082089552,0,0,0,0,0
55237,150,0,0.973333333,0.013333333,0.053333333,0,0,0,0,0
55256,50,0,0,0,1,0,0,0,0,0
55257,50,0,0,0,1,0,0,0,0,0
55258,49,0.244897959,0,0,0.857142857,0,0,0,0,0
55259,49,0.244897959,0,0,0.857142857,0,0,0,0,0
55260,49,0.244897959,0,0,0.857142857,0,0,0,0,0
55261,307,0.039087948,0.856677524,0,0.136807818,0,0,0,0,0
55262,53,0.301886792,0,0,0.79245283,0,0,0,0,0
55263,136,0.117647059,0.669117647,0,0.308823529,0.022058824,0,0,0,0
55264,29,0.551724138,0,0,0.620689655,0.103448276,0,0,0,0
55265,225,0.053333333,0.871111111,0.013333333,0.173333333,0.013333333,0.013333333,0.013333333,0.013333333,0.026666667
55266,176,0.090909091,0.875,0,0.119318182,0.017045455,0,0,0,0.034090909
55267,17,0.941176471,0,0,0.058823529,0.176470588,0,0,0,0.352941176
55268,206,0.077669903,0.951456311,0.014563107,0.004854369,0,0.014563107,0.014563107,0.014563107,0.029126214
55269,12,1,0,0,0,0,0,0,0,0.5
55270,189,0.063492063,0.857142857,0,0.211640212,0,0,0,0,0.031746032
55271,127,0.094488189,0.724409449,0,0.31496063,0,0,0,0,0
55272,59,0.203389831,0.220338983,0,0.677966102,0,0,0,0,0
55273,48,0.25,0,0,0.833333333,0,0,0,0,0
55274,12,1,0,0,0,0,0,0,0,0
55275,100,0.12,0.89,0,0,0,0,0,0,0
55276,12,1,0,0,0,0,0,0,0,0
55282,18,0,0,0,1,0,0,0,0,0
55283,18,0,0,0,1,0,0,0,0,0
55284,101,0.01980198,0.861386139,0,0.168316832,0,0,0,0,0
55285,93,0.021505376,0.978494624,0,0,0,0,0,0,0
55286,2,1,0,0,0,0,0,0,0,0
55287,22,0.090909091,0.954545455,0,0,0,0,0.090909091,0.045454545,0
55288,4,1,0,0,0,0,0,0,0,0
55289,57,0.070175439,0.385964912,0,0.631578947,0,0,0.035087719,0.01754386,0
55290,36,0,0,0,1,0,0,0,0,0
55291,106,0,0.716981132,0,0.339622642,0,0,0,0,0
55292,36,0,0,0,1,0,0,0,0,0
55298,45,0,0,0,1,0,0,0,0,0
55299,45,0,0,0,1,0,0,0,0,0
55300,63,0.301587302,0,0,0.825396825,0,0,0,0,0
55301,63,0.301587302,0,0,0.825396825,0,0,0,0,0
55302,306,0.062091503,0.830065359,0,0.169934641,0,0,0,0,0
55303,193,0.113989637,0.502590674,0,0.528497409,0,0,0,0,0
