"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"42430",,,"42431","42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520",,,,,,,,
"42431",,,"42430","42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520",,,,,,,,
"42446",,,"42447","42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42447, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520","42447",,,,,,,
"42447",,,"42446","42446","42446",,"42376, 42380, 42455, 42491, 42497, 42499",,,,,
"42448",,,,,,,"42447",,,,,
"42449",,,,,,,"42447",,,,,
"42451",,,,"42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520",,,,,,,,
"42455",,,,,,,"42376, 42380, 42447, 42499",,,,,
"42457",,,"42359, 42364, 42393, 42459, 42479, 42496, 42498, 42504","42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520",,,"42376, 42408, 42459, 42490, 42491, 42492, 42496, 42497, 42498, 42503, 42504",,,,,
"42459",,,"42359, 42364, 42388, 42389, 42393, 42457, 42472, 42479, 42496, 42498, 42504","42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42472, 42479, 42484, 42485, 42496, 42498, 42504, 42519, 42520",,,"42408, 42457, 42490, 42491",,,,,
