change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
300,96,0.0625,0.6875,0,0.583333333,0,0,0,0,0
300,96,0.0625,0.6875,0,0.583333333,0,0,0,0,0
301,77,0.064935065,0.987012987,0,0.168831169,0,0,0,0,0
301,77,0.064935065,0.987012987,0,0.168831169,0,0,0,0,0
302,77,0.051948052,0.987012987,0,0.142857143,0,0,0,0,0
302,77,0.051948052,0.987012987,0,0.142857143,0,0,0,0,0
303,74,0,1,0,0.175675676,0,0,0,0,0
303,74,0,1,0,0.175675676,0,0,0,0,0
304,79,0.050632911,0.987341772,0,0.151898734,0,0,0,0,0
304,79,0.050632911,0.987341772,0,0.151898734,0,0,0,0,0
305,93,0.053763441,0.838709677,0,0.430107527,0,0,0,0,0
305,93,0.053763441,0.838709677,0,0.430107527,0,0,0,0,0
306,97,0.195876289,0.742268041,0,0.628865979,0,0,0,0.020618557,0
306,97,0.195876289,0.742268041,0,0.628865979,0,0,0,0.020618557,0
307,94,0.170212766,0.723404255,0,0.606382979,0,0,0,0.021276596,0
307,94,0.170212766,0.723404255,0,0.606382979,0,0,0,0.021276596,0
308,96,0.145833333,0.71875,0,0.604166667,0,0,0,0.020833333,0
308,96,0.145833333,0.71875,0,0.604166667,0,0,0,0.020833333,0
309,92,0.184782609,0.760869565,0,0.597826087,0,0,0,0.02173913,0
309,92,0.184782609,0.760869565,0,0.597826087,0,0,0,0.02173913,0
310,100,0.16,0.7,0,0.54,0,0,0,0,0
310,100,0.16,0.7,0,0.54,0,0,0,0,0
311,88,0.159090909,0.795454545,0,0.477272727,0,0,0,0,0
311,88,0.159090909,0.795454545,0,0.477272727,0,0,0,0,0
312,89,0.202247191,0.752808989,0,0.539325843,0,0,0,0.224719101,0
312,89,0.202247191,0.752808989,0,0.539325843,0,0,0,0.224719101,0
313,82,0.170731707,0.792682927,0,0.548780488,0,0,0,0.243902439,0
313,82,0.170731707,0.792682927,0,0.548780488,0,0,0,0.243902439,0
314,94,0.14893617,0.712765957,0,0.617021277,0,0,0,0.212765957,0
314,94,0.14893617,0.712765957,0,0.617021277,0,0,0,0.212765957,0
315,91,0.186813187,0.703296703,0,0.637362637,0,0,0,0.21978022,0
315,91,0.186813187,0.703296703,0,0.637362637,0,0,0,0.21978022,0
316,101,0.297029703,0.851485149,0,0.425742574,0,0,0,0,0
316,101,0.297029703,0.851485149,0.01980198,0.425742574,0,0,0,0,0
317,109,0.201834862,0.788990826,0,0.568807339,0,0,0,0.183486239,0
317,109,0.201834862,0.788990826,0.018348624,0.568807339,0,0,0,0.183486239,0
318,77,0.25974026,0.727272727,0,0.454545455,0,0,0,0.25974026,0
318,77,0.25974026,0.727272727,0,0.454545455,0,0,0,0.25974026,0
