change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian
1,3,0,1.0,0,0,0,0
11,1,0,1.0,0,0,0,0
12,1,0,1.0,0,0,0,0
19,2,0,1.0,0,0,0,0
21,3,0,1.0,0,0,0,0
24,3,0,1.0,0,0,0,0
28,3,0,1.0,0,0,0,0
31,15,0,1.0,0,0,0,0
34,3,0,1.0,0,0,0,0
35,14,0,1.0,0,0,0,0
38,33,0,1.0,0,0,0,0
39,10,0,1.0,0,0,0,0
43,3,0,1.0,0,0,0,0
44,14,0,1.0,0,0,0,0
48,2,0,1.0,0,0,0,0
49,28,0,1.0,0,0,0,0
50,28,0,1.0,0,0,0,0
51,1,1.0,0,0,0,0,0
52,1,1.0,0,0,0,0,0
67,2,0,0,0,0,1.0,0
68,2,0,0,0,0,1.0,0
69,30,0,1.0,0,0,0,0
70,32,0,0.9375,0,0,0.0625,0
71,2,0,0,0,0,1.0,0
72,1,1.0,0,0,0,0,0
73,1,1.0,0,0,0,0,0
75,5,0,1.0,0,0,0,0
76,5,0,1.0,0,0,0,0
78,1,0,0,0,1.0,1.0,0
79,30,0,0.9666666666666667,0,0.03333333333333333,0.03333333333333333,0
80,11,0,1.0,0,0,0,0
81,11,0,1.0,0,0,0,0
82,3,0,1.0,0,0,0,0
86,15,0,1.0,0,0,0,0
90,4,0,1.0,0,0,0.25,0
91,4,0,1.0,0,0,0.25,0
94,9,0,1.0,0,0,0,0
95,4,0,1.0,0,0,0,0
96,9,0,1.0,0,0,0,0
101,9,0,1.0,0,0,0,0
102,12,0,1.0,0,0,0,0
104,3,0,1.0,0,0,0,0
105,18,1.0,0,0,0,0,0
106,41,0.43902439024390244,0.7804878048780488,0,0,0,0
107,6,1.0,0,0,0,0,0
108,4,1.0,0,0,0,0,0
109,12,1.0,0,0,0,0,0
110,41,0.2926829268292683,0.8048780487804879,0,0,0,0
111,7,0,1.0,0,0,0,0
112,39,0.41025641025641024,0.7692307692307693,0,0,0,0
113,36,0.4722222222222222,0.6944444444444444,0,0,0,0
114,37,0.5135135135135135,0.6756756756756757,0,0,0,0
115,20,1.0,0,0,0,0,0
116,21,1.0,0,0,0,0,0
117,23,0.9130434782608695,0.08695652173913043,0,0,0,0
118,44,0.4772727272727273,0.7272727272727273,0,0,0,0
119,30,0,1.0,0,0,0,0
120,30,0,1.0,0,0,0,0
121,11,0,0.9090909090909091,0,0,0.2727272727272727,0
123,56,0.375,0.7857142857142857,0,0,0,0
124,49,0.3469387755102041,0.7959183673469388,0,0,0,0
125,19,1.0,0,0,0,0,0
126,19,1.0,0,0,0,0,0
128,40,0,0.975,0,0,0.075,0
129,32,0,1.0,0,0,0,0
130,24,0.7083333333333334,0.4166666666666667,0,0,0.125,0
131,17,1.0,0,0,0,0,0
132,19,1.0,0,0,0,0,0
133,51,0.39215686274509803,0.7647058823529411,0,0,0,0
134,49,0.3469387755102041,0.7959183673469388,0,0,0,0
135,20,1.0,0,0,0,0,0
136,22,0.9090909090909091,0,0,0,0.13636363636363635,0
138,36,0,1.0,0,0,0,0
139,36,0,1.0,0,0,0,0
142,3,0,1.0,0,0,0,0
145,36,0,1.0,0,0,0,0
148,3,0,1.0,0,0,0,0
150,42,0,1.0,0,0,0,0
152,4,1.0,0,0,0,0,0
153,1,1.0,0,0,0,0,0
156,32,0,1.0,0,0,0,0
157,30,0,1.0,0,0,0,0
158,30,0,1.0,0,0,0,0
161,14,0,1.0,0,0,0,0
170,17,0,0.9411764705882353,0,0.058823529411764705,0,0
171,5,0,0.8,0,0.2,0.4,0
172,5,0,0.4,0,0.2,0.4,0
173,5,0,0.8,0,0.2,0.4,0
174,1,0,0,0,1.0,0,0
177,5,0,0,0,1.0,0,0
179,10,0,1.0,0,0,0,0
181,10,0,1.0,0,0,0,0
182,31,0,1.0,0,0,0,0
183,14,0,1.0,0,0,0,0
184,41,0,0.926829268292683,0.04878048780487805,0.07317073170731707,0.07317073170731707,0
185,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.14285714285714285
186,3,0.6666666666666666,0,0,1.0,1.0,0
